learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1508.0,0.765625,9.530702502363257E-8,1508.0,0.5141333333333333,0.029007826458159414,0.75,0.0,0.5081374321880651,3.0,0.0,1.0,0.015665796344647584,1508.0,481184.0,10.0,0.0,9048.300000000001,15.535657909038449,38663.2,2135.126063413274,13.6,0.8969082698049141,7.3,0.44845413490245706,7.3,0.44845413490245706,4.5,0.34156502553198664,0.0,0.0,0.0,0.0,1.0,0.0
3016.0,1.234375,1.918599526915285E-7,3016.0,0.46829044117647056,0.020383389024856202,0.68,0.0,0.42589995324918184,2.125,0.0,1.0,-0.23733333333333334,3016.0,796208.0,10.0,0.0,18066.2,42.289426049020385,69225.6,2305.2640976686375,25.0,0.8432740427115677,13.0,0.42163702135578385,13.0,0.42163702135578385,6.6000000000000005,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,0.0
4524.0,1.625,3.051183173536426E-7,4524.0,0.5128968253968254,0.024372588686933427,0.72,0.0,0.5075279261777562,2.5714285714285716,0.0,1.0,-0.11408970976253323,4524.0,1120760.0,10.0,0.0,27097.3,42.43532333642183,100890.4,2377.422709107023,36.6,1.0666666666666667,18.8,0.5333333333333333,18.8,0.5333333333333333,7.500000000000001,0.30731814857642953,0.0,0.0,0.0,0.0,1.0,0.0
6032.0,1.921875,4.151715741803248E-7,6032.0,0.47557172557172556,0.01960011098341713,0.74,0.0,0.4144,2.8461538461538463,0.0,1.0,-0.040690112806901324,6032.0,1432952.0,10.0,0.0,36126.700000000004,41.69973354564498,131195.2,3766.843927392445,47.60000000000001,1.550627113281734,24.300000000000004,0.775313556640867,24.300000000000004,0.775313556640867,8.8,0.29059326290271154,0.0,0.0,0.0,0.0,1.0,0.0
7540.0,2.234375,5.563561959813038E-7,7540.0,0.45010964912280704,0.021644856640043786,0.76,0.0,0.5654885654885655,3.1666666666666665,0.0,1.0,0.02918454935622334,7540.0,1746384.0,10.0,0.0,45175.1,52.60976884360704,161732.0,2403.668973326679,59.6,1.1944315244779278,30.3,0.5972157622389639,30.3,0.5972157622389639,9.600000000000001,0.33993463423951903,0.0,0.0,0.0,0.0,1.0,0.0
9048.0,2.625,7.687316974624991E-7,9048.0,0.369950389794472,0.010107495313886161,0.83,0.0,0.436046511627907,4.882352941176471,0.0,1.0,0.305571106094808,9048.0,2101584.0,10.0,0.0,54199.899999999994,44.38529536281627,196287.19999999998,4642.787430939405,74.0,2.333333333333334,37.5,1.166666666666667,37.5,1.166666666666667,10.3,0.2603416558635552,0.0,0.0,0.0,0.0,1.0,0.0
10556.0,3.0,1.0053955096130569E-6,10556.0,0.3976964769647697,0.009891178288709668,0.82,0.0,0.5128205128205128,4.555555555555555,0.0,1.0,0.2686374133949191,10556.0,2439512.0,10.0,0.0,63256.9,49.178687795968436,229109.6,5977.2318290139765,85.8,2.133333333333333,43.4,1.0666666666666664,43.4,1.0666666666666664,10.700000000000001,0.2603416558635552,0.0,0.0,0.0,0.0,1.0,0.0
12064.0,3.421875,1.307738615044703E-6,12064.0,0.5979672501411631,0.03573352332144997,0.77,0.0,0.6458650431253171,3.347826086956522,0.0,1.0,0.06700739744451918,12064.0,2770248.0,10.0,0.0,72361.5,68.32036462301825,261324.0,5961.774083460576,98.6,2.186829262247563,49.8,1.0934146311237816,49.8,1.0934146311237816,11.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
13572.0,3.8125,1.6221513376674718E-6,13572.0,0.39880952380952384,0.012266202290760364,0.72,0.0,0.47035573122529645,2.5714285714285716,0.0,1.0,-0.13879532514234352,13572.0,3111304.0,10.0,0.0,81415.8,73.68835276577546,294723.19999999995,5578.8098388256485,108.80000000000001,2.5024432505497938,54.900000000000006,1.2512216252748969,54.900000000000006,1.2512216252748969,11.200000000000001,0.32659863237109044,0.0,0.0,0.0,0.0,1.0,0.0
15080.0,4.234375,2.0032214686378007E-6,15080.0,0.5888773388773388,0.02625515588015981,0.74,0.0,0.5539243365330322,2.8461538461538463,0.0,1.0,-0.052281266774020424,15080.0,3491592.0,10.0,0.0,90496.9,60.810534540579894,331919.99999999994,6465.014441850336,120.80000000000001,3.076072532015819,60.900000000000006,1.5380362660079094,60.900000000000006,1.5380362660079094,11.4,0.3711842908553347,0.0,0.0,0.0,0.0,1.0,0.0
16588.0,4.640625,2.401522069703787E-6,16588.0,0.5262206148282098,0.02306253490334581,0.79,0.0,0.4487912087912088,3.761904761904762,0.0,1.0,0.14891766430491113,16588.0,3789832.0,10.0,0.0,99563.9,74.3986932382254,361002.4,8242.993980344761,131.8,3.213858878185053,66.4,1.6069294390925264,66.4,1.6069294390925264,11.5,0.34156502553198664,0.0,0.0,0.0,0.0,1.0,0.0
18096.0,5.0625,2.8454896528273816E-6,18096.0,0.6056338028169014,0.02350667519773819,0.71,0.0,0.5363825363825364,2.4482758620689653,0.0,1.0,-0.17796632996633002,18096.0,4067896.0,10.0,0.0,108600.59999999999,55.10922487811527,388073.6,6626.376149232031,142.8,3.017725412735006,71.9,1.508862706367503,71.9,1.508862706367503,11.700000000000001,0.36666666666666664,0.0,0.0,0.0,0.0,1.0,0.0
19604.0,5.53125,3.3843267010524865E-6,19604.0,0.5666063893911996,0.03242365132283542,0.79,0.0,0.567209162145871,3.761904761904762,0.0,1.0,0.14570657812824253,19604.0,4443432.0,10.0,0.0,117629.6,64.50050818059918,424654.4,7488.329033606602,157.20000000000002,2.8197714643408807,79.10000000000001,1.4098857321704403,79.10000000000001,1.4098857321704403,11.8,0.3887301263230202,0.0,0.0,0.0,0.0,1.0,0.0
