learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.125,1.034802860683865E-10,1508.0,0.45226666666666665,0.09418253782684932,0.64,-0.0746268656716415,0.48402652200120555,3.0,0.31240998703626616,0.8133333333333334,-0.4174412532637074,1508.0,3200.0
3016.0,0.171875,1.4228539334403145E-10,3016.0,0.6079963235294118,0.06266764573483335,0.71,0.12333736396614224,0.6063581112669472,2.125,0.30618621784789724,1.0,-0.12133333333333364,3016.0,3200.0
4524.0,0.21875,1.810905006196764E-10,4524.0,0.5912698412698413,0.0600452606676003,0.72,0.05913978494623674,0.5031568722680914,2.5714285714285716,0.2635231383473649,0.9722222222222222,-0.11408970976253323,4524.0,3200.0
6032.0,0.265625,2.1989560789532136E-10,6032.0,0.525987525987526,0.01898706897203678,0.73,-0.019637462235649904,0.46186666666666665,2.8461538461538463,0.0,0.9864864864864865,-0.08071665560716679,6032.0,3200.0
7540.0,0.296875,2.45765679412418E-10,7540.0,0.5542763157894737,0.03830322090391214,0.76,0.0,0.564968814968815,3.1666666666666665,0.0,1.0,0.02918454935622334,7540.0,3200.0
9048.0,0.328125,2.7163575092951464E-10,9048.0,0.5435861091424522,0.026765991344448292,0.83,0.0,0.4867109634551495,4.882352941176471,0.0,1.0,0.305571106094808,9048.0,3200.0
10556.0,0.359375,2.9750582244661127E-10,10556.0,0.33875338753387535,3.405623604832153E-4,0.82,0.0,0.42365967365967366,4.555555555555555,0.0,1.0,0.2686374133949191,10556.0,3200.0
12064.0,0.390625,3.233758939637079E-10,12064.0,0.49520045172219085,0.027228077578734078,0.77,0.0,0.4931506849315068,3.347826086956522,0.0,1.0,0.06700739744451918,12064.0,3200.0
13572.0,0.421875,3.4924596548080455E-10,13572.0,0.5143849206349206,0.00943850190264417,0.72,0.0,0.6075663466967814,2.5714285714285716,0.0,1.0,-0.13879532514234352,13572.0,3200.0
15080.0,0.453125,3.751160369979012E-10,15080.0,0.6533264033264033,0.027265039727012275,0.74,0.0,0.45736871823828346,2.8461538461538463,0.0,1.0,-0.052281266774020424,15080.0,3200.0
16588.0,0.46875,3.880510727564495E-10,16588.0,0.3743218806509946,0.008728151252261118,0.79,0.0,0.4848351648351648,3.761904761904762,0.0,1.0,0.14891766430491113,16588.0,3200.0
18096.0,0.484375,4.009861085149978E-10,18096.0,0.5619232637202526,0.02242868968604006,0.71,0.0,0.5077962577962578,2.4482758620689653,0.0,1.0,-0.17796632996633002,18096.0,3200.0
19604.0,0.515625,4.2685618003209446E-10,19604.0,0.6534056660638939,0.0319916989907601,0.79,0.0,0.6654611211573237,3.761904761904762,0.0,1.0,0.14570657812824253,19604.0,3200.0
21112.0,0.53125,4.397912157906428E-10,21112.0,0.44282744282744285,0.015877535643596064,0.74,0.0,0.41962117532782905,2.8461538461538463,0.0,1.0,-0.05519415609381022,21112.0,3200.0
22620.0,0.5625,4.656612873077394E-10,22620.0,0.3071710897797854,0.002233522041689029,0.77,0.0,0.3856,3.347826086956522,0.0,1.0,0.07113015532940559,22620.0,3200.0
24128.0,0.578125,4.785963230662876E-10,24128.0,0.3885381253035454,0.0014070859000960834,0.71,0.0,0.38756677999028655,2.4482758620689653,0.0,1.0,-0.1714582286957979,24128.0,3200.0
25636.0,0.59375,4.915313588248359E-10,25636.0,0.5323464912280702,0.01729481721574838,0.76,0.0,0.5940146809712027,3.1666666666666665,0.0,1.0,0.03092770515041741,25636.0,3200.0
27144.0,0.609375,5.044663945833842E-10,27144.0,0.4789333333333333,0.006705181197481147,0.75,0.0,0.47149122807017546,3.0,0.0,1.0,-0.007123775601068696,27144.0,3200.0
28652.0,0.625,5.174014303419324E-10,28652.0,0.4166666666666667,0.0039986851733361806,0.76,0.0,0.35602910602910603,3.1666666666666665,0.0,1.0,0.03107228406368872,28652.0,3200.0
30160.0,0.640625,5.303364661004807E-10,30160.0,0.5635925256178421,0.021707411043214886,0.79,0.0,0.49242424242424243,3.761904761904762,0.0,1.0,0.15619504396482817,30160.0,3200.0
30162.0,0.65625,5.43271501859029E-10,30162.0,0.541958041958042,0.020709381607702138,0.78,0.0,0.49242424242424243,3.5454545454545454,0.0,1.0,0.11607299853470088,30162.0,3200.0
