learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.234375,3.118960497279962E-10,1508.0,0.3741333333333333,3.7129494168652855E-4,0.75,0.0,0.324291742013261,3.0,0.0,1.0,0.015665796344647584,1508.0,5144.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3016.0,0.296875,5.709848159717189E-10,3016.0,0.47150735294117646,0.08757827707563387,0.71,0.12333736396614224,0.5025712949976625,2.125,0.30618621784789724,1.0,-0.12133333333333364,3016.0,16024.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4524.0,0.34375,7.877113401061959E-10,4524.0,0.46577380952380953,0.010743451165191542,0.72,0.0,0.5046138902379796,2.5714285714285716,0.0,1.0,-0.11408970976253323,4524.0,17872.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6032.0,0.390625,1.0146242049005296E-9,6032.0,0.303014553014553,0.004381588307686091,0.74,0.0,0.3157333333333333,2.8461538461538463,0.0,1.0,-0.040690112806901324,6032.0,18712.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7540.0,0.46875,1.578753451920218E-9,7540.0,0.44819078947368424,0.05403389418154342,0.74,0.0030674846625763502,0.45244282744282743,3.1666666666666665,0.2000548170491313,0.9605263157894737,-0.05171673819742479,7540.0,27912.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
9048.0,0.515625,1.9477900221116015E-9,9048.0,0.5655563430191354,0.004359840640094925,0.83,0.0,0.5440199335548173,4.882352941176471,0.0,1.0,0.305571106094808,9048.0,30432.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10556.0,0.5625,2.3787207384076387E-9,10556.0,0.3075880758807588,7.546232595226909E-4,0.82,0.0,0.49475524475524474,4.555555555555555,0.0,1.0,0.2686374133949191,10556.0,35536.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
12064.0,0.609375,2.827986867891418E-9,12064.0,0.4376058723884811,0.006893911608431003,0.77,0.0,0.46473871131405375,3.347826086956522,0.0,1.0,0.06700739744451918,12064.0,37048.0,11.0,6.0,6.0,4.0,0.0,0.0,1.0
13572.0,0.65625,3.3969667533205618E-9,13572.0,0.3878968253968254,0.04348920877709356,0.7,-0.008064516129032114,0.48334274421230944,2.5714285714285716,0.1850032174752387,0.9583333333333334,-0.2201378483667967,13572.0,46920.0,15.0,8.0,8.0,4.0,0.0,0.0,1.0
15080.0,0.703125,4.132517561730412E-9,15080.0,0.514033264033264,0.016844593968100008,0.74,0.0,0.4946357989836251,2.8461538461538463,0.0,1.0,-0.052281266774020424,15080.0,60656.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
