time,Average Publishing Delay
100,49.5
200,99.5
300,149.5
400,199.5
500,249.5
600,299.5
700,349.5
800,399.5
900,355.1111111111111
1000,319.6
1100,290.54545454545456
1200,266.3333333333333
1300,245.84615384615384
1400,228.28571428571428
1500,213.06666666666666
1600,199.75
1700,188.0
1800,177.55555555555554
1900,168.21052631578948
2000,159.8
2100,152.1904761904762
2200,145.27272727272728
2300,138.95652173913044
2400,133.16666666666666
2500,127.84
2600,122.92307692307692
2700,118.37037037037037
2800,114.14285714285714
2900,110.20689655172414
3000,106.53333333333333
3100,103.09677419354838
3200,99.875
3300,98.34848484848484
3400,99.8529411764706
3500,104.12857142857143
3600,110.94444444444444
3700,120.0945945945946
3800,131.39473684210526
3900,144.67948717948718
4000,159.8
4100,155.90243902439025
4200,152.1904761904762
4300,148.65116279069767
4400,145.27272727272728
4500,142.04444444444445
4600,138.95652173913044
4700,136.0
4800,133.16666666666666
4900,130.44897959183675
5000,127.84
5100,125.33333333333333
5200,122.92307692307692
5300,120.60377358490567
5400,118.37037037037037
5500,116.21818181818182
5600,114.14285714285714
5700,112.14035087719299
5800,110.20689655172414
5900,108.33898305084746
6000,106.53333333333333
6100,104.78688524590164
6200,103.09677419354838
6300,101.46031746031746
6400,99.875
6500,99.1
6600,99.86363636363636
6700,102.09701492537313
6800,105.73529411764706
6900,110.71739130434783
7000,116.98571428571428
7100,124.49140845070423
7200,136.12125
7300,134.25657534246577
7400,132.4422972972973
7500,130.6764
7600,128.95697368421054
7700,127.28220779220779
7800,125.65038461538461
7900,124.05987341772152
8000,122.509125
8100,120.99666666666667
8200,119.5210975609756
8300,118.0810843373494
8400,116.67535714285714
8500,115.30270588235294
8600,113.96197674418605
8700,112.65206896551724
8800,111.37193181818182
8900,110.12056179775281
9000,108.897
9100,107.70032967032967
9200,106.52967391304348
9300,105.3841935483871
9400,104.26308510638297
9500,103.16557894736842
9600,102.0909375
9700,101.54876288659794
9800,102.0380612244898
9900,103.52757575757576
10000,105.9873
10100,109.38841584158416
10200,113.70323529411765
10300,118.90514563106797
10400,124.9685576923077
10500,123.77838095238096
10600,122.61066037735849
10700,121.46476635514018
10800,120.3400925925926
10900,119.23605504587157
11000,118.15209090909092
11100,117.08765765765766
11200,116.04223214285715
11300,115.01530973451328
11400,114.00640350877192
11500,113.01504347826086
11600,112.04077586206897
11700,111.0831623931624
11800,110.14177966101695
11900,109.21621848739495
12000,108.30608333333333
12100,107.4109917355372
12200,106.5305737704918
12300,105.66447154471545
12400,104.81233870967742
12500,103.97384
12600,103.14865079365079
12700,102.33645669291339
12800,101.536953125
12900,101.13356589147287
13000,101.50561538461538
13100,102.63534351145039
13200,104.5055303030303
13300,107.09947368421052
13400,110.40097014925374
13500,114.39429629629629
13600,119.06419117647059
13700,118.19510948905109
13800,117.33862318840579
13900,116.49446043165467
14000,115.66235714285715
14100,114.84205673758865
14200,114.03330985915493
14300,113.23587412587412
14400,112.44951388888889
14500,111.674
14600,110.9091095890411
14700,110.15462585034014
14800,109.41033783783784
14900,108.67604026845638
15000,107.95153333333333
15100,107.2366225165563
15200,106.53111842105262
15300,105.83483660130719
15400,105.1475974025974
15500,104.46922580645162
15600,103.79955128205128
15700,103.1384076433121
15800,102.4856329113924
15900,101.84106918238994
16000,101.2045625
16100,100.88341614906832
16200,101.18351851851853
16300,102.09343558282208
16400,103.60201219512196
16500,105.83830303030302
16600,109.6039156626506
16700,115.10820359281438
16800,122.15761904761905
16900,121.43479289940828
17000,120.7204705882353
17100,120.01450292397661
17200,119.3167441860465
17300,118.6270520231214
17400,117.94528735632184
17500,117.27131428571428
17600,116.605
