time,Average Publishing Delay
100,49.5
200,24.75
300,16.5
400,12.375
500,19.8
600,16.5
700,14.142857142857142
800,12.375
900,16.5
1000,14.85
1100,13.5
1200,12.375
1300,15.23076923076923
1400,14.142857142857142
1500,13.2
1600,12.375
1700,14.558823529411764
1800,13.75
1900,13.026315789473685
2000,12.375
2100,14.142857142857142
2200,13.5
2300,12.91304347826087
2400,12.375
2500,13.86
2600,13.326923076923077
2700,12.833333333333334
2800,12.375
2900,13.655172413793103
3000,13.2
3100,12.774193548387096
3200,12.375
3300,13.5
3400,13.102941176470589
3500,12.728571428571428
3600,12.375
3700,13.378378378378379
3800,13.026315789473685
3900,12.692307692307692
4000,12.375
4100,13.28048780487805
4200,12.964285714285714
4300,12.662790697674419
4400,12.375
4500,13.2
4600,12.91304347826087
4700,12.638297872340425
4800,12.375
4900,13.13265306122449
5000,12.87
5100,12.617647058823529
5200,12.375
5300,13.075471698113208
5400,12.833333333333334
5500,12.6
5600,12.375
5700,13.026315789473685
5800,12.801724137931034
5900,12.584745762711865
6000,12.375
6100,12.98360655737705
6200,12.774193548387096
6300,12.571428571428571
6400,12.375
6500,12.946153846153846
6600,12.75
6700,12.559701492537313
6800,12.375
6900,12.91304347826087
7000,12.728571428571428
7100,12.549295774647888
7200,12.375
7300,12.883561643835616
7400,12.70945945945946
7500,12.54
7600,12.375
7700,12.857142857142858
7800,12.692307692307692
7900,12.531645569620252
8000,12.375
8100,12.833333333333334
8200,12.676829268292684
8300,12.524096385542169
8400,12.375
8500,12.811764705882354
8600,12.662790697674419
8700,12.517241379310345
8800,12.375
8900,12.792134831460674
9000,12.65
9100,12.510989010989011
9200,12.375
9300,12.774193548387096
9400,12.638297872340425
9500,12.505263157894737
9600,12.375
9700,12.757731958762887
9800,12.627551020408163
9900,12.5
10000,12.375
10100,12.742574257425742
10200,12.617647058823529
10300,12.495145631067961
10400,12.375
10500,12.728571428571428
10600,12.608490566037736
10700,12.490654205607477
10800,12.375
10900,12.715596330275229
11000,12.6
11100,12.486486486486486
11200,12.375
11300,12.70353982300885
11400,12.592105263157896
11500,12.482608695652173
11600,12.375
11700,12.692307692307692
11800,12.584745762711865
11900,12.478991596638656
12000,12.375
12100,12.681818181818182
12200,12.577868852459016
12300,12.475609756097562
12400,12.375
12500,12.672
12600,12.571428571428571
12700,12.472440944881889
12800,12.375
12900,12.662790697674419
13000,12.565384615384616
13100,12.469465648854962
13200,12.375
13300,12.654135338345865
13400,12.559701492537313
13500,12.466666666666667
13600,12.375
13700,12.645985401459853
13800,12.554347826086957
13900,12.464028776978417
14000,12.375
14100,12.638297872340425
14200,12.549295774647888
14300,12.461538461538462
14400,12.375
14500,12.63103448275862
14600,12.544520547945206
14700,12.459183673469388
14800,12.375
14900,12.624161073825503
15000,12.54
15100,12.456953642384105
15200,12.375
15300,12.617647058823529
15400,12.535714285714286
15500,12.45483870967742
15600,12.375
15700,12.611464968152866
15800,12.531645569620252
15900,12.452830188679245
16000,12.375
16100,12.605590062111801
16200,12.527777777777779
16300,12.450920245398773
16400,12.375
16500,12.6
16600,12.524096385542169
16700,12.449101796407186
16800,12.375
16900,12.594674556213018
17000,12.520588235294118
17100,12.447368421052632
17200,12.375
17300,12.589595375722544
17400,12.517241379310345
17500,12.445714285714285
17600,12.375
17700,12.584745762711865
17800,12.514044943820224
17900,12.44413407821229
18000,12.375
18100,12.58011049723757
18200,12.510989010989011
18300,12.442622950819672
18400,12.375
18500,12.575675675675676
18600,12.508064516129032
18700,12.441176470588236
18800,12.375
18900,12.571428571428571
19000,12.505263157894737
19100,12.43979057591623
19200,12.375
19300,12.567357512953368
19400,12.50257731958763
19500,12.438461538461539
19600,12.375
19700,12.563451776649746
19800,12.5
19900,12.43718592964824
20000,12.375
20100,12.559701492537313
20200,12.497524752475247
20300,12.435960591133005
20400,12.375
20500,12.55609756097561
20600,12.495145631067961
20700,12.434782608695652
20800,12.375
20900,12.552631578947368
21000,12.492857142857142
21100,12.433649289099526
21200,12.375
21300,12.549295774647888
21400,12.490654205607477
21500,12.432558139534883
21600,12.375
21700,12.546082949308756
21800,12.488532110091743
21900,12.431506849315069
22000,12.375
22100,12.542986425339366
22200,12.486486486486486
22300,12.4304932735426
22400,12.375
22500,12.54
22600,12.484513274336283
22700,12.429515418502202
22800,12.375
22900,12.537117903930131
23000,12.482608695652173
23100,12.428571428571429
23200,12.375
23300,12.534334763948499
23400,12.48076923076923
23500,12.427659574468086
23600,12.375
23700,12.531645569620252
23800,12.478991596638656
23900,12.426778242677825
24000,12.375
24100,12.529045643153527
24200,12.477272727272727
24300,12.425925925925926
24400,12.375
24500,12.526530612244898
24600,12.475609756097562
24700,12.425101214574898
24800,12.375
24900,12.524096385542169
25000,12.474
25100,12.42430278884462
25200,12.375
25300,12.521739130434783
25400,12.472440944881889
25500,12.423529411764706
25600,12.375
25700,12.519455252918288
25800,12.470930232558139
25900,12.422779922779922
26000,12.375
