time,Average Publishing Delay
100,49.5
200,99.5
300,149.5
400,199.5
500,159.6
600,133.0
700,114.0
800,99.75
900,88.66666666666667
1000,79.8
1100,72.54545454545455
1200,66.5
1300,61.38461538461539
1400,57.0
1500,53.2
1600,49.875
1700,49.85294117647059
1800,55.388888888888886
1900,65.60526315789474
2000,79.8
2100,76.0
2200,72.54545454545455
2300,69.3913043478261
2400,66.5
2500,63.84
2600,61.38461538461539
2700,59.111111111111114
2800,57.0
2900,55.03448275862069
3000,53.2
3100,51.483870967741936
3200,49.875
3300,49.86363636363637
3400,52.794117647058826
3500,58.41428571428571
3600,66.5
3700,64.70270270270271
3800,63.0
3900,61.38461538461539
4000,59.85
4100,58.390243902439025
4200,57.0
4300,55.674418604651166
4400,54.40909090909091
4500,53.2
4600,52.04347826086956
4700,50.93617021276596
4800,49.875
4900,49.86734693877551
5000,51.86
5100,55.73529411764706
5200,61.38461538461539
5300,60.22641509433962
5400,59.111111111111114
5500,58.03636363636364
5600,57.0
5700,56.0
5800,55.03448275862069
5900,54.101694915254235
6000,53.2
6100,52.32786885245902
6200,51.483870967741936
6300,50.666666666666664
6400,49.875
6500,49.86923076923077
6600,51.378787878787875
6700,54.33582089552239
6800,58.6764705882353
6900,57.82608695652174
7000,57.0
7100,56.19718309859155
7200,55.416666666666664
7300,54.657534246575345
7400,53.91891891891892
7500,53.2
7600,52.5
7700,51.81818181818182
7800,51.15384615384615
7900,50.50632911392405
8000,49.875
8100,49.870370370370374
8200,51.08536585365854
8300,53.475903614457835
8400,57.0
8500,56.32941176470588
8600,55.674418604651166
8700,55.03448275862069
8800,54.40909090909091
8900,53.79775280898876
9000,53.2
9100,52.61538461538461
9200,52.04347826086956
9300,51.483870967741936
9400,50.93617021276596
9500,50.4
9600,49.875
9700,49.871134020618555
9800,50.88775510204081
9900,52.89393939393939
10000,55.86
10100,55.306930693069305
10200,54.76470588235294
10300,54.23300970873787
10400,53.71153846153846
10500,53.2
10600,52.698113207547166
10700,52.205607476635514
10800,51.72222222222222
10900,51.24770642201835
11000,50.78181818181818
11100,50.32432432432432
11200,49.875
11300,49.8716814159292
11400,50.74561403508772
11500,52.47391304347826
11600,55.03448275862069
11700,54.56410256410256
11800,54.101694915254235
11900,53.64705882352941
12000,53.2
12100,52.760330578512395
12200,52.32786885245902
12300,51.90243902439025
12400,51.483870967741936
12500,51.072
12600,50.666666666666664
12700,50.267716535433074
12800,49.875
12900,49.872093023255815
13000,50.63846153846154
13100,52.156488549618324
13200,54.40909090909091
13300,54.0
13400,53.59701492537314
13500,53.2
13600,52.80882352941177
13700,52.42335766423358
13800,52.04347826086956
13900,51.669064748201436
14000,51.3
14100,50.93617021276596
14200,50.57746478873239
14300,50.22377622377623
14400,49.875
14500,49.87241379310345
14600,50.554794520547944
14700,51.90816326530612
14800,53.91891891891892
14900,53.557046979865774
15000,53.2
15100,52.847682119205295
15200,52.5
15300,52.15686274509804
15400,51.81818181818182
15500,51.483870967741936
15600,51.15384615384615
15700,50.82802547770701
15800,50.50632911392405
15900,50.18867924528302
16000,49.875
16100,49.87267080745342
16200,50.48765432098765
16300,51.70858895705521
16400,53.52439024390244
16500,53.2
16600,52.87951807228916
16700,52.56287425149701
16800,52.25
16900,51.94082840236686
17000,51.63529411764706
17100,51.333333333333336
17200,51.03488372093023
17300,50.73988439306358
17400,50.44827586206897
17500,50.16
17600,49.875
17700,49.8728813559322
17800,50.43258426966292
17900,51.54469273743017
18000,53.2
18100,52.9060773480663
18200,52.61538461538461
18300,52.32786885245902
18400,52.04347826086956
18500,51.76216216216216
18600,51.483870967741936
18700,51.20855614973262
