time,SSE unbounded Info Loss
100,11465826.180255454
200,33748268.38353191
300,54762848.68008743
400,82029216.85714829
500,120160796.98120034
600,146469660.5320602
700,174327598.26739344
800,198340031.97252893
900,231168014.56474537
1000,257018982.97441277
1100,287379068.97858113
1200,317175804.51339334
1300,342964680.20178425
1400,377954030.95991564
1500,404094705.11079687
1600,433421321.4717601
1700,456311281.99598306
1800,482918283.12935054
1900,509295816.91824347
2000,549527268.4683707
2100,572471411.5746146
2200,600469810.0554492
2300,622608053.9952466
2400,647228249.4920777
2500,673116933.1591984
2600,697211823.1430558
2700,725106514.5405033
2800,761985562.0925474
2900,788188328.8668774
3000,820688399.3816088
3100,861091510.5209659
3200,894300907.0351043
3300,920099213.4102501
3400,950070447.8687525
3500,981810047.2351985
3600,1018165569.3982047
3700,1055228923.1716101
3800,1081134770.3226478
3900,1103916302.368145
4000,1134652446.0847309
4100,1188871287.284659
4200,1220958321.4149337
4300,1263961944.7142048
4400,1293490391.1684759
4500,1318877538.0276268
4600,1357848439.4902413
4700,1388805294.1823206
4800,1424340642.7112794
4900,1456432380.9754107
5000,1487614611.6912048
5100,1526577927.016036
5200,1575261878.8765633
5300,1611038549.7952926
5400,1636280507.131011
5500,1666175426.626987
5600,1702209735.3172376
5700,1726284590.0461762
5800,1755646483.6563954
5900,1787881694.8122141
6000,1817821033.6488905
6100,1864524232.0023997
6200,1894203763.8773286
6300,1934806605.4073272
6400,1967871493.0300353
6500,2000411521.8612857
6600,2036777687.0679033
6700,2079162851.6287162
6800,2108847330.8330956
6900,2136100801.4140818
7000,2164083373.7935004
7100,2194954669.302463
7200,2228699483.0298696
7300,2251776387.662954
7400,2281689896.5323753
7500,2314485506.702672
7600,2348560081.7069125
7700,2381426442.459748
7800,2402705933.2394176
7900,2433736984.0979958
8000,2460983697.9257655
8100,2499407638.930423
8200,2531153083.8672967
8300,2559525950.835966
8400,2591548255.898321
8500,2614482329.1393642
8600,2648874514.615177
8700,2675380732.564168
8800,2705228415.996216
8900,2712720490.6570096
9000,2750967962.7457857
9100,2774960963.935243
9200,2799337237.142235
9300,2836706114.451414
9400,2863511098.65738
9500,2894351305.615162
9600,2926042122.7522836
9700,2953134508.0204563
9800,2979164757.7165747
9900,3005525855.8773236
10000,3047018332.158911
10100,3076412869.3932858
10200,3102301366.908537
10300,3137109528.3705835
10400,3165499566.542533
10500,3199095470.440246
