time,SSE unbounded Info Loss
100,9028940.14657064
200,16799174.226143967
300,24271562.951179996
400,33144745.54539824
500,41269536.19488977
600,49340478.742181584
700,57118911.15653051
800,65656849.128773995
900,75042578.08404046
1000,84176506.19835801
1100,91908263.04142798
1200,100626813.81135987
1300,109828062.24080445
1400,118415149.33893272
1500,127556457.2557961
1600,136663707.7103949
1700,143434931.9315149
1800,150919686.669837
1900,159274417.5868275
2000,168446948.33406338
2100,176042639.24914023
2200,184752252.84100384
2300,193972672.3678989
2400,201450537.6981299
2500,210113224.77758583
2600,217919377.58415848
2700,227822385.4990484
2800,236361458.39813617
2900,244079420.42816865
3000,252197982.84327546
3100,261638110.23107845
3200,270360143.86303216
3300,280119859.67421365
3400,291192291.6062849
3500,300274806.34266615
3600,309790101.79412663
3700,319344495.5922997
3800,327589974.655875
3900,337113459.148407
4000,345446678.90023243
4100,354552265.2757363
4200,362912182.4277863
4300,371650310.5708527
4400,380088316.20646024
4500,388696491.9520437
4600,396994899.50024825
4700,405391255.4827459
4800,413174729.28272486
4900,421933107.51499206
5000,429252715.14226025
5100,437992093.4138117
5200,447182027.4552976
5300,456116773.0096346
5400,464915673.7458418
5500,473957110.94147766
5600,482643728.29241157
5700,493147348.6338227
5800,503948039.56762433
5900,513500015.6904252
6000,522259455.0483351
6100,530814821.187504
6200,540998273.5160037
6300,550029963.6337496
6400,559322833.6423061
6500,567322413.5933613
6600,575538933.0787324
6700,583946470.7113751
6800,593147797.243686
6900,602488974.6179967
7000,611667415.6422126
7100,620750975.5671732
7200,629591645.7777812
7300,636859156.636536
7400,644512929.2502611
7500,653618138.0599581
7600,663047007.9353791
7700,674119852.8749434
7800,682142148.9277768
7900,692939895.3336194
8000,702390716.0751696
8100,709924462.3962567
8200,717528363.6383091
8300,726385138.0854882
8400,736558935.427138
8500,745608745.962534
8600,754696466.2425029
8700,763362837.406042
8800,772602651.1624099
8900,781066282.156587
9000,787899328.4517592
9100,801213868.2488267
9200,811968016.8801727
9300,822902725.3874295
9400,832356906.5484567
9500,841240413.2984524
9600,850212840.715385
9700,858032870.112937
9800,866644934.3465593
9900,876061846.6362674
10000,885193012.4415308
10100,894936951.3711901
10200,904905526.4532106
10300,913557327.0187482
10400,923182496.2017775
10500,930491028.292075
10600,938763500.6797634
10700,947329355.1395125
10800,956543752.5906074
10900,966274440.5422338
11000,975958314.2668833
11100,986301349.0736266
11200,996042667.7035921
11300,1006254943.5780102
11400,1018552338.9153763
11500,1029369778.8612616
11600,1039785745.0857344
11700,1049358161.5696278
11800,1058791289.1393586
11900,1069016069.3325163
12000,1079174024.6765885
12100,1097990675.5035594
12200,1115852320.9054923
12300,1127983745.9362278
12400,1137867316.6739492
12500,1147654380.6095283
12600,1156642210.6105962
12700,1166144051.5363276
12800,1175289937.4247847
12900,1182915339.5358844
13000,1190635556.1023855
13100,1198920309.2281597
13200,1208388507.2173755
13300,1218150351.219551
13400,1229251175.4979265
13500,1239366818.359989
13600,1247714098.5488827
13700,1256105200.5679295
13800,1265198205.896077
13900,1275328131.0331633
14000,1287395298.0290096
14100,1298654788.5565274
14200,1308502264.4186027
14300,1320426629.9946694
14400,1331465601.0083668
14500,1340978815.4909341
14600,1348823220.0125732
14700,1359219961.6813476
14800,1370364305.4565053
14900,1379891586.3164814
15000,1389896948.7463088
15100,1400756292.1475449
15200,1411080742.1294222
15300,1420700947.6189983
