learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.296875,8.386753809948762E-10,1508.0,0.5429333333333334,0.12860000554986983,0.8,0.27272727272727326,0.47498493068113323,3.0,0.4472135954999579,1.0,0.21253263707571823,1508.0,10920.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3016.0,0.359375,1.1720112524926661E-9,3016.0,0.5473345588235294,0.1547972068852982,0.71,0.20937840785169023,0.5371669004207573,2.125,0.48126671093981094,0.9264705882352942,-0.12133333333333364,3016.0,20616.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
4524.0,0.421875,1.6423291526734827E-9,4524.0,0.5620039682539683,0.21137939404653444,0.77,0.2599742599742602,0.5755220981058766,2.5714285714285716,0.45968415657875766,0.9861111111111112,0.08485488126649073,4524.0,29088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
6032.0,0.46875,2.063073528309663E-9,6032.0,0.7072,0.2861727989780485,0.81,0.3448275862068966,0.6930666666666667,3.0,0.5256107558513874,0.9866666666666667,0.23949568679495697,6032.0,34696.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
7540.0,0.53125,2.7162928341163526E-9,7540.0,0.7401315789473685,0.260290212858607,0.83,0.3849493487698983,0.7151767151767152,3.1666666666666665,0.5400617248673217,1.0,0.31233905579399135,7540.0,40400.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
9048.0,0.578125,3.2966232134236226E-9,9048.0,0.6789333333333334,0.27074946277032075,0.81,0.3448275862068966,0.7426160337552743,3.0,0.5256107558513874,0.9866666666666667,0.2245737483085252,9048.0,47856.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
10556.0,0.59375,3.4954993882113027E-9,10556.0,0.8366485834840265,0.3754927013464419,0.88,0.5423340961098396,0.6439246263807668,3.761904761904762,0.6546536707079771,1.0,0.5116730917501928,10556.0,49200.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
12064.0,0.640625,4.153148943765295E-9,12064.0,0.7534965034965035,0.29132087600531154,0.83,0.3441358024691356,0.7488584474885844,3.5454545454545454,0.5188745216627708,0.9871794871794872,0.31016481668348445,12064.0,54232.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
13572.0,0.6875,4.900244271589649E-9,13572.0,0.71875,0.28424945088684955,0.81,0.40550688360450576,0.7673630717108978,2.5714285714285716,0.5669467095138409,1.0,0.22724602936769575,13572.0,61608.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
15080.0,0.71875,5.443709798985057E-9,15080.0,0.7687110187110187,0.2778207769183822,0.78,0.34679334916864635,0.7888198757763976,2.8461538461538463,0.5945000869893573,0.918918918918919,0.10960815888352132,15080.0,67224.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
16588.0,0.765625,6.330988576842679E-9,16588.0,0.8006993006993007,0.3404197103444933,0.82,0.3967828418230559,0.8131868131868132,3.5454545454545454,0.6187625819869306,0.9358974358974359,0.2705008551184949,16588.0,73168.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
18096.0,0.78125,6.634897241989771E-9,18096.0,0.7666666666666667,0.2971801145648306,0.76,0.34065934065934067,0.8643451143451143,2.3333333333333335,0.5835033765765117,0.9285714285714286,0.025350089766606698,18096.0,75184.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
19604.0,0.828125,7.614629187931617E-9,19604.0,0.6823387582881254,0.23661445824136268,0.82,0.3425858290723152,0.6558167570825799,3.761904761904762,0.562543950463012,0.9493670886075949,0.2677484955384933,19604.0,80792.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
