learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.953125,1.9095094305359657E-7,1508.0,0.5221333333333333,0.06590473842237593,0.73,-0.03846153846153849,0.5418927064496685,3.0,0.0,0.9733333333333334,-0.06308093994778068,1508.0,796152.0
3016.0,1.609375,4.3675549224846897E-7,3016.0,0.5510110294117647,0.0828319884558344,0.69,0.08284023668639029,0.53903693314633,2.125,0.3016498749524414,0.9705882352941176,-0.19866666666666705,3016.0,1447848.0
4524.0,2.28125,7.978447764698003E-7,4524.0,0.5342261904761905,0.06066420877334111,0.72,0.03047091412742355,0.5041282175813502,2.5714285714285716,0.18766527107660055,0.9861111111111112,-0.11408970976253323,4524.0,2077440.0
6032.0,2.734375,1.119411123606066E-6,6032.0,0.5013333333333333,0.061457711157438144,0.76,0.05882352941176517,0.5269333333333334,3.0,0.2,1.0,0.039362972793629616,6032.0,2743184.0
7540.0,3.296875,1.6069549989576144E-6,7540.0,0.4830043859649123,0.04726007235380425,0.74,-0.03833865814696508,0.524948024948025,3.1666666666666665,0.0,0.9736842105263158,-0.05171673819742479,7540.0,3350376.0
9048.0,3.78125,2.1020505422105395E-6,9048.0,0.43893333333333334,0.04440252886453694,0.73,-0.03846153846153849,0.5726341169379144,3.0,0.0,0.9733333333333334,-0.10192151556156985,9048.0,3951024.0
10556.0,4.328125,2.7414222454859155E-6,10556.0,0.4110910186859554,0.036445191032421886,0.77,-0.037906137184115354,0.3255360623781676,3.761904761904762,0.0,0.9746835443037974,0.06404009252120302,10556.0,4519264.0
12064.0,5.015625,3.64970105389754E-6,12064.0,0.49184149184149184,0.06965450970176612,0.77,0.028716216216215878,0.3997970573313039,3.5454545454545454,0.21044962411238535,0.9743589743589743,0.06669357551294983,12064.0,5106800.0
13572.0,5.609375,4.527541653563579E-6,13572.0,0.5262896825396826,0.06809108250534385,0.73,0.07912687585266064,0.43591191417278374,2.5714285714285716,0.26539877154295183,0.9861111111111112,-0.09812406353011695,13572.0,5714976.0
15080.0,6.25,5.578187249031746E-6,15080.0,0.5088357588357588,0.06701066532516614,0.73,-0.019637462235649904,0.6606437041219649,2.8461538461538463,0.0,0.9864864864864865,-0.09275362318840585,15080.0,6339496.0
16588.0,6.9375,6.803438073903736E-6,16588.0,0.43006993006993005,0.05546352609917299,0.77,-0.0195035460992906,0.4901098901098901,3.5454545454545454,0.0,0.9871794871794872,0.06786220376252163,16588.0,6888976.0
18096.0,7.671875,8.22215460680632E-6,18096.0,0.6557142857142857,0.10120784658575088,0.71,0.07051282051282057,0.5956340956340956,2.3333333333333335,0.2563479777846623,0.9857142857142858,-0.17770197486535041,18096.0,7467584.0
19604.0,8.53125,1.0010626865550875E-5,19604.0,0.5123568414707655,0.046192984770212775,0.78,-0.01946246524559769,0.5256178420735382,3.761904761904762,0.0,0.9873417721518988,0.10502593899149214,19604.0,8044552.0
21112.0,9.28125,1.1689771975701054E-5,21112.0,0.5914760914760915,0.09043924008766463,0.72,0.06166219839142047,0.5701796988829528,2.8461538461538463,0.3280066425979169,0.9324324324324325,-0.1363629373317957,21112.0,8654248.0
22620.0,10.1875,1.3851651973608466E-5,22620.0,0.48293595137914913,0.0625343556633639,0.7,0.043977055449330886,0.46072931276297335,2.225806451612903,0.1796053020267749,1.0,-0.2115693626138191,22620.0,9221168.0
24128.0,11.125,1.621462495273186E-5,24128.0,0.5550481988838153,0.06459270547456142,0.71,-0.03868194842406847,0.5153769841269841,2.7037037037037037,0.0,0.9726027397260274,-0.1714582286957979,24128.0,9742936.0
25636.0,12.265625,1.9259015356914863E-5,25636.0,0.6382536382536382,0.11988681896700754,0.74,0.12868632707774763,0.5770750988142292,2.8461538461538463,0.3814841353583993,0.9459459459459459,-0.04933249370277099,25636.0,1.0317152E7
27144.0,13.453125,2.2596355993300676E-5,27144.0,0.38617463617463615,0.03041928696003582,0.72,-0.03857566765578621,0.5411184210526315,2.8461538461538463,0.0,0.972972972972973,-0.12797862867319704,27144.0,1.0863488E7
28652.0,14.609375,2.6031237017984194E-5,28652.0,0.518640350877193,0.05026261528505277,0.72,-0.07361963190184091,0.47245322245322247,3.1666666666666665,0.0,0.9473684210526315,-0.1304156685923633,28652.0,1.1483184E7
30160.0,15.953125,3.020638470641441E-5,30160.0,0.6232670283303194,0.08403816265573666,0.79,0.0,0.49417249417249415,3.761904761904762,0.0,1.0,0.15619504396482817,30160.0,1.2010352E7
30162.0,16.390625,3.156593884341419E-5,30162.0,0.6363636363636364,0.09652590304972586,0.79,0.06914893617021302,0.49417249417249415,3.5454545454545454,0.21320071635561044,1.0,0.1562514986013054,30162.0,1.2012152E7
