learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.234375,6.722984835505486E-10,1508.0,0.46453333333333335,0.12892113575872188,0.79,0.2222222222222224,0.45147679324894513,0.3333333333333333,0.4,0.16,0.17531249999999995,1508.0,11088.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3016.0,0.359375,1.3477660508619414E-9,3016.0,0.8115808823529411,0.3806267127596249,0.77,0.41860465116279066,0.8158017765310893,0.47058823529411764,0.653750492070448,0.46875,0.11180537772087087,3016.0,20888.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
4524.0,0.421875,1.8114870828058985E-9,4524.0,0.5952380952380952,0.21469352773964245,0.77,0.2599742599742602,0.5978630403108305,0.3888888888888889,0.45968415657875766,0.21428571428571427,0.08565905096660796,4524.0,28680.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
6032.0,0.484375,2.379464502963755E-9,6032.0,0.7484407484407485,0.3054484256162936,0.81,0.3733509234828498,0.7301333333333333,0.35135135135135137,0.5509394735670186,0.3076923076923077,0.2400000000000002,6032.0,35128.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
7540.0,0.546875,3.0489819538262155E-9,7540.0,0.8316885964912281,0.3143561928691465,0.83,0.3849493487698983,0.7952182952182952,0.3157894736842105,0.5400617248673217,0.2916666666666667,0.3127077747989273,7540.0,41408.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
9048.0,0.59375,3.6464835931029585E-9,9048.0,0.7004517221908526,0.2958830516774114,0.83,0.377745241581259,0.7200120554550934,0.2987012987012987,0.5480832572857851,0.30434782608695654,0.30588447653429585,9048.0,49272.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
10556.0,0.65625,4.46488330554631E-9,10556.0,0.8523206751054853,0.3956906540499844,0.87,0.5149253731343282,0.6621182586094867,0.26582278481012656,0.6504970974411686,0.42857142857142855,0.4711830443159922,10556.0,50616.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
12064.0,0.703125,5.1861732370323606E-9,12064.0,0.7837995337995338,0.30809034848114375,0.82,0.3202416918429002,0.7524099441907661,0.28205128205128205,0.5154941956358633,0.2727272727272727,0.2698318762609278,12064.0,59480.0,19.0,10.0,10.0,6.0,0.0,0.0,1.0
13572.0,0.765625,6.235851388838556E-9,13572.0,0.6736111111111112,0.3123922369453333,0.81,0.40550688360450576,0.7425183512140033,0.3888888888888889,0.5669467095138409,0.32142857142857145,0.22747753145596183,13572.0,64920.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
15080.0,0.8125,7.188613785223829E-9,15080.0,0.7715696465696466,0.3104512717999969,0.76,0.28741092636579596,0.8114059853190287,0.35135135135135137,0.5598299415086365,0.34615384615384615,0.02892406761470362,15080.0,78568.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
16588.0,0.875,8.572662611388499E-9,16588.0,0.7106690777576854,0.31835502401780874,0.82,0.39393939393939387,0.8241758241758241,0.26582278481012656,0.6293025503040395,0.42857142857142855,0.270679042501221,16588.0,85600.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
18096.0,0.90625,9.276910633262662E-9,18096.0,0.772705196697426,0.34335047475937525,0.78,0.4182971972501324,0.829002079002079,0.4084507042253521,0.6596686291919382,0.4827586206896552,0.10657091561938956,18096.0,87112.0,27.0,14.0,14.0,8.0,0.0,0.0,1.0
19604.0,0.953125,1.0384020343836812E-8,19604.0,0.8824593128390597,0.4309151084414296,0.87,0.5706737120211361,0.89,0.26582278481012656,0.7365429242103545,0.5714285714285714,0.47126141078838174,19604.0,91296.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
21112.0,1.0,1.1510338582512406E-8,21112.0,0.8655504819888381,0.39194704535721725,0.83,0.5531019978969506,0.8711622807017544,0.3698630136986301,0.7544893542605766,0.6296296296296297,0.3096672437007115,21112.0,92880.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
22620.0,1.03125,1.2270724659578669E-8,22620.0,0.8057309373482273,0.30516297539151566,0.77,0.37089715536105045,0.82328190743338,0.4084507042253521,0.615487345256551,0.41379310344827586,0.07113015532940559,22620.0,94056.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
24128.0,1.078125,1.3538196475969422E-8,24128.0,0.7702702702702703,0.3199533997602141,0.81,0.4277108433734941,0.7413890457368718,0.35135135135135137,0.6326198702284811,0.4230769230769231,0.23172113289760388,24128.0,104520.0,35.0,18.0,18.0,10.0,0.0,0.0,1.0
25636.0,1.125,1.4903748200999368E-8,25636.0,0.7862248213125406,0.2678519980978828,0.86,0.4304312449145644,0.7939017504234895,0.2345679012345679,0.5994365992473424,0.3684210526315789,0.4343514578408194,25636.0,112608.0,37.0,19.0,19.0,10.0,0.0,0.0,1.0
27144.0,1.171875,1.6303933484272827E-8,27144.0,0.6842666666666667,0.3234698457988556,0.73,0.24999999999999992,0.7264254385964912,0.3333333333333333,0.5796550698475775,0.4,-0.08753227481822251,27144.0,115464.0,37.0,19.0,19.0,10.0,0.0,0.0,1.0
28652.0,1.21875,1.7856428813603193E-8,28652.0,0.8267543859649122,0.5340820910862624,0.81,0.5005257623554156,0.7972972972972973,0.3157894736842105,0.7550996216370998,0.6666666666666666,0.2330402930402933,28652.0,128024.0,39.0,20.0,20.0,10.0,0.0,0.0,1.0
30160.0,1.265625,1.951156365167764E-8,30160.0,0.9138034960819771,0.4157672929370211,0.86,0.4886778670562453,0.8665501165501166,0.26582278481012656,0.6463137929731515,0.42857142857142855,0.4375382975889169,30160.0,136488.0,41.0,21.0,21.0,10.0,0.0,0.0,1.0
30162.0,1.265625,1.951156365167764E-8,30162.0,0.9166666666666666,0.43395536831136244,0.86,0.5125348189415041,0.8665501165501166,0.28205128205128205,0.665500144921429,0.45454545454545453,0.4375759190197122,30162.0,136488.0,41.0,21.0,21.0,10.0,0.0,0.0,1.0
