learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.25,3.21823689672682E-10,1508.0,0.3952,6.875519840769256E-4,0.75,0.0,0.3447860156720916,0.3333333333333333,0.0,0.0,0.018229166666666456,1508.0,4976.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3016.0,0.328125,6.354983068174787E-10,3016.0,0.4140625,0.05010043242780737,0.67,0.04403244495944378,0.40860215053763443,0.47058823529411764,0.2970442628930023,0.09375,-0.27436619718309824,3016.0,15520.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4524.0,0.390625,9.190342906448578E-10,4524.0,0.3958333333333333,0.004870751340662602,0.72,0.0,0.37445361826129187,0.3888888888888889,0.0,0.0,-0.11311072056239051,4524.0,17536.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
6032.0,0.421875,1.103423225382964E-9,6032.0,0.4519230769230769,0.010481442112149492,0.74,0.0,0.4688,0.35135135135135137,0.0,0.0,-0.040000000000000036,6032.0,22808.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
7540.0,0.46875,1.4622734549144906E-9,7540.0,0.4583333333333333,0.01640255462692053,0.76,0.0,0.4589397089397089,0.3157894736842105,0.0,0.0,0.02970509383378001,7540.0,29592.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
9048.0,0.515625,1.8394590976337594E-9,9048.0,0.43252399774138905,0.014894633830343132,0.77,0.0,0.3128390596745027,0.2987012987012987,0.0,0.0,0.06090252707581231,9048.0,31104.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10556.0,0.5625,2.226831081012885E-9,10556.0,0.5545509342977697,0.012344496787514203,0.79,0.0,0.48278102664067574,0.26582278481012656,0.0,0.0,0.14575722543352612,10556.0,31944.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
12064.0,0.59375,2.5771118493543733E-9,12064.0,0.337995337995338,0.024140377244487657,0.77,-0.0195035460992906,0.42820903094875695,0.28205128205128205,0.0,0.0,0.06700739744451918,12064.0,43328.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
13572.0,0.625,2.9727299180295735E-9,13572.0,0.5109126984126984,0.01472673853908564,0.72,0.0,0.5889328063241107,0.3888888888888889,0.0,0.0,-0.13845416417016193,13572.0,48936.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
15080.0,0.671875,3.631252588497268E-9,15080.0,0.33367983367983367,0.01878878165422858,0.74,0.0,0.4686617730095991,0.35135135135135137,0.0,0.0,-0.05199892675073782,15080.0,54304.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
16588.0,0.71875,4.335468272782035E-9,16588.0,0.4719710669077758,0.012306124531723667,0.79,0.0,0.47296703296703296,0.26582278481012656,0.0,0.0,0.14912554958475818,16588.0,58072.0,17.0,9.0,9.0,6.0,0.0,0.0,1.0
18096.0,0.765625,5.103615371303427E-9,18096.0,0.5041282175813502,0.015620507672933645,0.71,0.0,0.4282744282744283,0.4084507042253521,0.0,0.0,-0.17770197486535041,18096.0,63344.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
19604.0,0.8125,5.890097883012561E-9,19604.0,0.48764315852923446,6.902410186418739E-4,0.79,0.0,0.504375,0.26582278481012656,0.0,0.0,0.14588381742738604,19604.0,64856.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
