learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.109375,4.912079829308722E-11,1508.0,0.5533333333333333,0.2176,0.67,0.10810810810810793,0.5479204339963833,0.3333333333333333,0.5017303392593807,0.32,-0.29593750000000013,1508.0,1736.0
3016.0,0.140625,6.315531209111213E-11,3016.0,0.4485294117647059,0.1176470588235294,0.52,-0.1029411764705884,0.45511921458625526,0.47058823529411764,0.40219983326992187,0.25,-0.8536235595390521,3016.0,1736.0
4524.0,0.1875,8.420708278814952E-11,4524.0,0.42956349206349204,0.09300595238095238,0.54,-0.1408730158730158,0.4587178241864983,0.3888888888888889,0.3486083443891982,0.17857142857142858,-0.828681898066784,4524.0,1736.0
6032.0,0.21875,9.824159658617444E-11,6032.0,0.5322245322245323,0.19542619542619544,0.64,0.06444906444906456,0.5466666666666666,0.35135135135135137,0.4825435035810065,0.3076923076923077,-0.43999999999999995,6032.0,1736.0
7540.0,0.234375,1.052588534851869E-10,7540.0,0.4857456140350877,0.13432017543859648,0.63,-0.028921023359288315,0.4475051975051975,0.3157894736842105,0.3987370412567353,0.20833333333333334,-0.49587131367292253,7540.0,1736.0
9048.0,0.25,1.1227611038419935E-10,9048.0,0.46357989836250707,0.10954263128176173,0.62,-0.07284020327498568,0.45750452079566006,0.2987012987012987,0.3619384413781734,0.17391304347826086,-0.5515523465703972,9048.0,1736.0
10556.0,0.28125,1.2631062418222427E-10,10556.0,0.4939722724532851,0.13261000602772754,0.67,-0.012269938650307106,0.453866146848603,0.26582278481012656,0.3897418814769785,0.19047619047619047,-0.34238150289017333,10556.0,1736.0
12064.0,0.3125,1.4034513798024919E-10,12064.0,0.4819347319347319,0.1223776223776224,0.65,-0.036729857819905454,0.44190766108574325,0.28205128205128205,0.37708240769245943,0.18181818181818182,-0.41977135171486213,12064.0,1736.0
13572.0,0.328125,1.4736239487926166E-10,13572.0,0.37996031746031744,0.05133928571428572,0.5,-0.24007936507936506,0.37238848108413325,0.3888888888888889,0.2644626177562269,0.10714285714285714,-1.0329538645895746,13572.0,1736.0
15080.0,0.34375,1.5437965177827413E-10,15080.0,0.4994802494802495,0.1600831600831601,0.61,-0.00102669404517471,0.5547713156408809,0.35135135135135137,0.44324451092562495,0.2692307692307692,-0.5779983901261068,15080.0,1736.0
16588.0,0.359375,1.613969086772866E-10,16588.0,0.517781796262809,0.16576250753465943,0.68,0.03556359252561762,0.4725274725274725,0.26582278481012656,0.43574467033059505,0.23809523809523808,-0.2965705911089399,16588.0,1736.0
18096.0,0.390625,1.7543142247531151E-10,18096.0,0.4587178241864983,0.12408936376881982,0.55,-0.08173076923076902,0.512993762993763,0.4084507042253521,0.4039628852103731,0.2413793103448276,-0.8274685816876123,18096.0,1736.0
19604.0,0.40625,1.8244867937432399E-10,19604.0,0.517781796262809,0.16576250753465943,0.68,0.03556359252561762,0.53125,0.26582278481012656,0.43574467033059505,0.23809523809523808,-0.3015103734439832,19604.0,1736.0
21112.0,0.4375,1.964831931723489E-10,21112.0,0.5180111618467783,0.18061897513952307,0.62,0.03602232369355682,0.4857456140350877,0.3698630136986301,0.4681645887845222,0.2962962962962963,-0.5430967493748797,21112.0,1736.0
22620.0,0.453125,2.0350045007136137E-10,22620.0,0.5628946090335114,0.235065565808645,0.64,0.12578921806702298,0.5864890135577373,0.4084507042253521,0.532115738176347,0.3793103448275862,-0.45388323513658263,22620.0,1736.0
24128.0,0.46875,2.1051770697037384E-10,24128.0,0.4022869022869023,0.06159043659043659,0.54,-0.19542619542619524,0.40711462450592883,0.35135135135135137,0.2819961516081904,0.11538461538461539,-0.8600435729847489,24128.0,1736.0
25636.0,0.484375,2.1753496386938631E-10,25636.0,0.4801819363222872,0.1111111111111111,0.68,-0.039636127355425946,0.435347261434218,0.2345679012345679,0.35595737528732635,0.15789473684210525,-0.2929109535066981,25636.0,1736.0
27144.0,0.515625,2.3156947766741123E-10,27144.0,0.5066666666666667,0.15839999999999999,0.64,0.013698630136986314,0.4923245614035088,0.3333333333333333,0.4308131845707603,0.24,-0.4500430330909632,27144.0,1736.0
28652.0,0.515625,2.3156947766741123E-10,28652.0,0.4517543859649123,0.10087719298245615,0.6,-0.09649122807017546,0.4734927234927235,0.3157894736842105,0.3504383220252312,0.16666666666666666,-0.6146520146520147,28652.0,1736.0
30160.0,0.53125,2.385867345664237E-10,30160.0,0.45750452079566006,0.09403254972875227,0.64,-0.0849909584086803,0.4755244755244755,0.26582278481012656,0.3321255998938993,0.14285714285714285,-0.4463300919142135,30160.0,1736.0
30162.0,0.53125,2.385867345664237E-10,30162.0,0.4527972027972028,0.08916083916083915,0.63,-0.09597156398104296,0.4755244755244755,0.28205128205128205,0.32387513781564786,0.13636363636363635,-0.4864064997336176,30162.0,1736.0
