learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.125,5.613805519209968E-11,1508.0,0.5533333333333333,-0.015733333333333377,0.67,0.10810810810810793,0.5367691380349608,3.0,0.5017303392593807,0.7866666666666666,-0.29593750000000013,1508.0,1736.0
3016.0,0.1875,8.420708278814952E-11,3016.0,0.41792132102962604,-0.2525497814473045,0.55,-0.17677824267782394,0.3962131837307153,2.4482758620689653,0.27525430865690614,0.7323943661971831,-0.7444730077120819,3016.0,1736.0
4524.0,0.21875,9.824159658617444E-11,4524.0,0.42857142857142855,-0.1314285714285714,0.52,-0.1428571428571427,0.44851869839728026,2.3333333333333335,0.3625307868699863,0.6571428571428571,-0.9081898066783834,4524.0,1736.0
6032.0,0.28125,1.2631062418222427E-10,6032.0,0.5275467775467776,-0.12681912681912677,0.67,0.06036446469248291,0.5266666666666666,2.8461538461538463,0.43615214114880857,0.8243243243243243,-0.31999999999999984,6032.0,1736.0
7540.0,0.34375,1.543796517782741E-10,7540.0,0.4677754677754678,-0.1572245322245322,0.6,-0.06609808102345428,0.43503118503118504,2.8461538461538463,0.378062683865246,0.7432432432432432,-0.6171581769437001,7540.0,1736.0
9048.0,0.375,1.6841416557629902E-10,9048.0,0.5110722610722611,-0.12645687645687648,0.67,0.022511848341232057,0.48282097649186256,3.5454545454545454,0.42503256422617863,0.7948717948717948,-0.34800902934537226,9048.0,1736.0
10556.0,0.40625,1.8244867937432393E-10,10556.0,0.4939722724532851,-0.1708860759493671,0.67,-0.012269938650307106,0.4476933073424301,3.761904761904762,0.3897418814769785,0.7974683544303798,-0.34238150289017333,10556.0,1736.0
12064.0,0.453125,2.0350045007136132E-10,12064.0,0.5367132867132867,-0.13461538461538458,0.71,0.07994923857868019,0.49670218163368846,3.5454545454545454,0.4385290096535146,0.8461538461538461,-0.1763819771351717,12064.0,1736.0
13572.0,0.5,2.245522207683987E-10,13572.0,0.4365079365079365,-0.16121031746031744,0.55,-0.12838515546639898,0.435347261434218,2.5714285714285716,0.3521476061368819,0.6944444444444444,-0.829658478130617,13572.0,1736.0
15080.0,0.53125,2.3858673456642365E-10,15080.0,0.512993762993763,-0.07276507276507277,0.63,0.026315789473684518,0.5657820440429137,2.8461538461538463,0.4513781161534127,0.7567567567567568,-0.4970753957606653,15080.0,1736.0
16588.0,0.5625,2.526212483644486E-10,16588.0,0.4526823387582881,-0.2893309222423146,0.66,-0.10174983797796455,0.5175824175824176,3.761904761904762,0.27776773138352584,0.810126582278481,-0.37760625305324874,16588.0,1736.0
18096.0,0.578125,2.5963850526346106E-10,18096.0,0.5104419621175328,0.011656143759106341,0.58,0.02006532897806799,0.5717255717255717,2.4482758620689653,0.48282799751270356,0.676056338028169,-0.7056373429084385,18096.0,1736.0
19604.0,0.609375,2.73673019061486E-10,19604.0,0.46561771561771564,-0.23484848484848486,0.65,-0.0723039215686273,0.4463532248342375,3.5454545454545454,0.3292288085687648,0.7948717948717948,-0.4232316946691557,19604.0,1736.0
21112.0,0.640625,2.8770753285951095E-10,21112.0,0.5254677754677755,-0.028586278586278546,0.63,0.05030800821355224,0.5002428363283147,2.8461538461538463,0.47821567173214713,0.7432432432432432,-0.5013338458581588,21112.0,1736.0
22620.0,0.671875,3.017420466575359E-10,22620.0,0.521369596891695,-0.025254978144730433,0.61,0.04317958783120694,0.5525946704067322,2.4482758620689653,0.47675444759600727,0.7323943661971831,-0.5753214285714284,22620.0,1736.0
24128.0,0.703125,3.1577656045556083E-10,24128.0,0.4050958391771856,-0.20874240299205232,0.51,-0.1986301369863012,0.4503968253968254,2.225806451612903,0.2964650706270754,0.6811594202898551,-0.9790291262135922,24128.0,1736.0
25636.0,0.734375,3.2981107425358577E-10,25636.0,0.48214285714285715,-0.13392857142857145,0.6,-0.03734439834024918,0.40711462450592883,2.5714285714285716,0.40089186286863654,0.75,-0.6138495435945863,25636.0,1736.0
27144.0,0.765625,3.438455880516107E-10,27144.0,0.5603070175438597,-0.05180921052631582,0.7,0.12790697674418558,0.4923245614035088,3.1666666666666665,0.4917075510803893,0.8289473684210527,-0.20836919424246955,27144.0,1736.0
28652.0,0.78125,3.508628449506232E-10,28652.0,0.4243421052631579,-0.22615131578947367,0.58,-0.1513157894736843,0.4215176715176715,3.1666666666666665,0.3007665644911174,0.7236842105263158,-0.6953846153846155,28652.0,1736.0
30160.0,0.8125,3.648973587486481E-10,30160.0,0.4972875226039783,-0.05063291139240511,0.62,-0.004759386567953232,0.5600233100233101,3.761904761904762,0.4500351603704096,0.7088607594936709,-0.5266817636872254,30160.0,1736.0
30162.0,0.8125,3.648973587486481E-10,30162.0,0.48892773892773894,-0.06410256410256404,0.61,-0.01987447698744754,0.5600233100233101,3.5454545454545454,0.4385290096535146,0.7051282051282052,-0.5667527970165159,30162.0,1736.0
