learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.1875,1.5522042910257977E-10,1508.0,0.8346666666666667,0.31167502426528193,0.79,0.3225806451612903,0.807715491259795,3.0,0.5503937984146745,0.9466666666666667,0.17531249999999995,1508.0,3200.0
3016.0,0.25,2.0696057213677302E-10,3016.0,0.8164157357940748,0.2979834628855731,0.74,0.26345609065155823,0.8186068256194483,2.4482758620689653,0.5330276767000167,0.9154929577464789,-0.00791773778920299,3016.0,3200.0
4524.0,0.3125,2.5870071517096627E-10,4524.0,0.7957142857142857,0.25819321523856487,0.73,0.23295454545454536,0.7717338513841671,2.3333333333333335,0.4976133515281193,0.9285714285714286,-0.07335676625659082,4524.0,3200.0
6032.0,0.375,3.1044085820515954E-10,6032.0,0.8108108108108109,0.2718774172871462,0.77,0.2647058823529414,0.8048,2.8461538461538463,0.5046560756374133,0.9459459459459459,0.08000000000000007,6032.0,3200.0
7540.0,0.421875,3.492459654808045E-10,7540.0,0.9303534303534303,0.36164038951045885,0.81,0.3925831202046039,0.8466735966735967,2.8461538461538463,0.5803432921972449,0.972972972972973,0.2318498659517427,7540.0,3200.0
9048.0,0.46875,3.8805107275644945E-10,9048.0,0.8012820512820513,0.3692049033749114,0.8,0.35400516795865644,0.8511151295961422,3.5454545454545454,0.6102275168964625,0.9102564102564102,0.18302483069977446,9048.0,3200.0
10556.0,0.546875,4.52726251549191E-10,10556.0,0.8830620855937311,0.40614896829067393,0.81,0.372523117569353,0.7985705003248863,3.761904761904762,0.6249773956129331,0.9113924050632911,0.22711368015414277,10556.0,3200.0
12064.0,0.59375,4.915313588248359E-10,12064.0,0.8315850815850816,0.2765378643752524,0.81,0.29733727810650873,0.8381532217148655,3.5454545454545454,0.5120915564991891,0.9615384615384616,0.22926698049764643,12064.0,3200.0
13572.0,0.625,5.174014303419325E-10,13572.0,0.8606150793650794,0.3231968089571712,0.78,0.338942307692308,0.8695652173913043,2.5714285714285716,0.5550096524257162,0.9583333333333334,0.10550029958058725,13572.0,3200.0
15080.0,0.65625,5.432715018590292E-10,15080.0,0.747920997920998,0.1940974133543648,0.74,0.15584415584415565,0.7769621682665161,2.8461538461538463,0.42345475474238015,0.9324324324324325,-0.05199892675073782,15080.0,3200.0
16588.0,0.703125,5.820766091346741E-10,16588.0,0.7474382157926461,0.2828912836958503,0.8,0.2695398100803506,0.869010989010989,3.761904761904762,0.5173307482395967,0.9367088607594937,0.1896433805569126,16588.0,3200.0
18096.0,0.734375,6.079466806517707E-10,18096.0,0.8207867897037396,0.22182539235104892,0.75,0.22744128553770085,0.8788981288981289,2.4482758620689653,0.4484066010269973,0.971830985915493,-0.015260323159784726,18096.0,3200.0
19604.0,0.765625,6.338167521688673E-10,19604.0,0.722027972027972,0.17624439855546714,0.75,0.11221590909090896,0.6901748040988547,3.5454545454545454,0.40681834459764166,0.9102564102564102,-0.01659406762082558,19604.0,3200.0
21112.0,0.796875,6.59686823685964E-10,21112.0,0.8794178794178794,0.31274682612671,0.79,0.32864450127877265,0.8523555123846528,2.8461538461538463,0.5433399444346929,0.9594594594594594,0.14789160099942356,21112.0,3200.0
22620.0,0.8125,6.726218594445122E-10,22620.0,0.8101019912578922,0.29768444054978144,0.74,0.26345609065155823,0.8373071528751753,2.4482758620689653,0.5330276767000167,0.9154929577464789,-0.050214285714285586,22620.0,3200.0
24128.0,0.84375,6.984919309616089E-10,24128.0,0.8452547919588593,0.30298248077931367,0.78,0.36083672283556073,0.779265873015873,2.225806451612903,0.5388159060803247,1.0,0.11145631067961179,24128.0,3200.0
25636.0,0.875,7.243620024787055E-10,25636.0,0.8070436507936508,0.2773117992374551,0.74,0.23887587822014053,0.7967250141163185,2.5714285714285716,0.511766315719159,0.9166666666666666,-0.04900220333648112,25636.0,3200.0
27144.0,0.90625,7.502320739958022E-10,27144.0,0.7752192982456141,0.3217557014479548,0.81,0.3606998654104982,0.7637061403508771,3.1666666666666665,0.5658404709778996,0.9605263157894737,0.23469951031310293,27144.0,3200.0
28652.0,0.9375,7.761021455128988E-10,28652.0,0.7922149122807017,0.23207909154845807,0.72,0.1336633663366337,0.7858627858627859,3.1666666666666665,0.46594555814804667,0.868421052631579,-0.1302564102564103,28652.0,3200.0
30160.0,0.96875,8.019722170299954E-10,30160.0,0.8848704038577456,0.2553094382800877,0.83,0.30555555555555547,0.8892773892773893,3.761904761904762,0.4848519096815858,0.9873417721518988,0.317010789929399,30160.0,3200.0
30162.0,0.96875,8.019722170299954E-10,30162.0,0.8898601398601399,0.2881310890211568,0.83,0.3441358024691356,0.8892773892773893,3.5454545454545454,0.5188745216627708,0.9871794871794872,0.3170564730953647,30162.0,3200.0
