time,k = 100
100,0.13095238095238096
200,0.07853403141361258
300,0.07457627118644068
400,0.06722689075630252
500,0.061881188118811874
600,0.050522648083623695
700,0.057142857142857134
800,0.085
900,0.17381489841986456
1000,0.15947843530591774
1100,0.1649954421148587
1200,0.15679733110925773
1300,0.14895267649340574
1400,0.14101646385110952
1500,0.13706954760297094
1600,0.13
1700,0.1269185360094451
1800,0.12380416432189086
1900,0.1231578947368421
2000,0.12267471091000502
2100,0.12053358742258218
2200,0.11627906976744184
2300,0.1135276207046542
2400,0.11256876851460007
2500,0.1072289156626506
2600,0.10431100846805234
2700,0.10365853658536583
2800,0.10365853658536583
2900,0.09518864659051576
3000,0.09494324045407636
3100,0.09165035877364644
3200,0.08940293841825571
3300,0.08900364520048602
3400,0.08900364520048602
3500,0.08628571428571429
3600,0.08693197854925204
3700,0.08477789815817985
3800,0.08397148138368102
3900,0.08335470633495769
4000,0.08350202429149797
4100,0.082275390625
4200,0.08125599232981784
4300,0.07999067164179105
4400,0.07992607992607992
4500,0.07876482434549116
4600,0.07736138505369275
4700,0.07725047882528198
4800,0.07725047882528198
4900,0.07692307692307693
5000,0.07631896898912606
5100,0.07514224053364724
5200,0.075635103926097
5300,0.07682144205360514
5400,0.07664984109179286
5500,0.07738748627881449
5600,0.07706061147863401
5700,0.07648924920690871
5800,0.07602236980076896
5900,0.07531667237247518
6000,0.07567927987998
6100,0.07608874281018899
6200,0.07624918883841661
6300,0.07548675390999042
6400,0.07491398185799186
6500,0.07560561641721956
6600,0.07545164718384698
6700,0.07499248572287345
6800,0.0742713419144844
6900,0.0742713419144844
7000,0.07286755250750107
7100,0.07325335215243473
7200,0.072778166550035
7300,0.07206958442634268
7400,0.07140925074384638
7500,0.07097118463180363
7600,0.07159841479524437
7700,0.07105741751104183
7800,0.07083764219234746
7900,0.07005320496579681
8000,0.06942707030272705
8100,0.0698452012383901
8200,0.0698452012383901
8300,0.06843373493975903
8400,0.06906835261839436
8500,0.06890459363957598
8600,0.06856343283582089
8700,0.06817920073707244
8800,0.06809913597089585
8900,0.06815365551425033
9000,0.06773220073767744
9100,0.0673374613003096
9200,0.06673936750272629
9300,0.06603468706237207
9400,0.06603468706237207
9500,0.06497472620050547
9600,0.06522646629096222
9700,0.06527144633236635
9800,0.06500663332993163
9900,0.0649060436769934
10000,0.06435792212991692
