time,eps = 0.01
100,8234.34
200,7350.945
300,6937.956666666668
400,6933.9575
500,7031.494000000001
600,6742.418333333332
700,6497.928571428572
800,6292.44625
900,6179.3966666666665
1000,6042.371999999999
1100,5921.368181818182
1200,5873.3775
1300,5768.01
1400,5659.84
1500,5647.284666666666
1600,5666.24875
1700,5685.664117647058
1800,5734.822777777777
1900,5730.051052631579
2000,5749.0225
2100,5752.26380952381
2200,5760.261818181818
2300,5751.706086956522
2400,5761.750416666668
2500,5799.5952
2600,5828.1834615384605
2700,5842.038888888889
2800,5842.271785714286
2900,5853.610344827585
3000,5850.080333333332
3100,5847.862580645161
3200,5846.1140625
3300,5828.77
3400,5859.656764705883
3500,5859.5577142857155
3600,5867.6066666666675
3700,5853.654594594594
3800,5855.7868421052635
3900,5849.491282051282
4000,5858.06525
4100,5875.104634146342
4200,5859.155476190476
4300,5858.536976744186
4400,5863.245454545456
4500,5866.6722222222215
4600,5864.916304347826
4700,5852.2717021276585
4800,5844.470625
4900,5825.805510204082
5000,5820.2198
5100,5822.339019607844
5200,5813.698269230769
5300,5816.989433962264
5400,5801.036851851852
5500,5788.601090909091
5600,5784.472678571428
5700,5778.471578947369
5800,5770.191379310346
5900,5755.7035593220335
6000,5744.280166666666
6100,5746.3513114754105
6200,5727.486451612903
6300,5725.693174603174
6400,5714.5490625
6500,5708.989846153847
6600,5700.5216666666665
6700,5686.33014925373
6800,5686.896764705883
6900,5679.210869565219
7000,5665.803285714284
7100,5656.7712676056335
7200,5647.832638888889
7300,5644.919178082192
7400,5634.4193243243235
7500,5625.006666666667
7600,5613.461184210526
7700,5605.33142857143
7800,5590.222948717948
7900,5577.52253164557
8000,5565.063875
8100,5553.482962962963
8200,5550.715609756097
8300,5531.879397590363
8400,5520.313214285714
8500,5497.251294117647
8600,5481.738488372093
8700,5463.856896551724
8800,5441.305
8900,5419.008314606742
9000,5395.462777777778
9100,5368.646703296703
9200,5340.23706521739
9300,5313.858709677419
9400,5286.25585106383
9500,5253.007894736842
9600,5221.4828125
9700,5186.708659793814
9800,5149.795
9900,5110.94898989899
10000,5070.6309
