time,eps = 0.01
100,150.12675349857926
200,296.8017505157978
300,439.6830243215748
400,587.7533938961162
500,736.9855093028203
600,886.9948039778302
700,1026.6153500785808
800,1150.2841582361448
900,1219.7563757284454
1000,1361.1448600637725
1100,1472.3246630603005
1200,1612.3785839085726
1300,1754.1821008834272
1400,1896.218064870659
1500,2033.66689972866
1600,2178.064382971826
1700,2316.5688258607684
1800,2453.820144783069
1900,2583.2349934626973
2000,2719.497854769389
2100,2860.984424804536
2200,3011.146185628866
2300,3148.9633046558947
2400,3288.908540279733
2500,3441.126612924303
2600,3590.2533497333284
2700,3739.8690484996864
2800,3898.373550195617
2900,4050.540750548571
3000,4201.701363978337
3100,4347.912341379345
3200,4495.022301275109
3300,4632.256392807307
3400,4775.90458852326
3500,4906.796212771254
3600,5045.167429202951
3700,5183.393794307158
3800,5322.294235536305
3900,5460.492938848021
4000,5612.895167360073
4100,5752.7596680259985
4200,5905.320947088748
4300,6052.6808373009435
4400,6192.02515276287
4500,6335.318002261469
4600,6480.914909367765
4700,6625.285505467746
4800,6775.0784172436315
4900,6911.146969746728
5000,7061.584467798
5100,7206.165050049578
5200,7350.175190231099
5300,7485.8089424680265
5400,7635.034144517299
5500,7771.909671174297
5600,7910.214768660619
5700,8052.074936507296
5800,8200.296560942148
5900,8346.90190493294
6000,8482.159779416274
6100,8624.193263588582
6200,8767.256498139599
6300,8912.488324113889
6400,9058.593255070486
6500,9192.8947702656
6600,9335.956101442602
6700,9495.650337894072
6800,9641.375578173405
6900,9791.401760985069
7000,9932.744989891937
7100,10072.972685803948
7200,10221.281733887246
7300,10367.6382453678
7400,10521.620619909705
7500,10663.346958033462
7600,10800.082410298155
7700,10944.753906058184
7800,11088.15175938745
7900,11232.733501739422
8000,11383.99997937001
8100,11522.80572303483
8200,11679.546576499317
8300,11825.704804804984
8400,11967.806612148332
8500,12112.439287723342
8600,12265.868925457937
8700,12411.901982949741
8800,12557.57375856084
8900,12700.344344782092
9000,12849.181658838184
9100,12995.995688682286
9200,13145.843694322857
9300,13301.422140609273
9400,13455.81258836096
9500,13600.937210648804
9600,13738.785148210314
9700,13885.861436204199
9800,14028.66984322848
9900,14175.553120683971
10000,14319.664954487736
