time,k = 100
100,0.29275892208027443
200,0.2768006844855861
300,0.2457562736368573
400,0.2784398738331362
500,0.3631483602994905
600,0.21486346155424485
700,0.11350409402379567
800,0.03578130580754646
900,0.23314948761671414
1000,0.2526660992952827
1100,0.13822376989830332
1200,0.2760193481300064
1300,0.21838181195968787
1400,0.22583634610185754
1500,0.28217194999166395
1600,0.10098113773017303
1700,0.16745857815936915
1800,0.24252322930658465
1900,0.02777829900088591
2000,0.2582581692611825
2100,0.2802251919549121
2200,0.2783744799867236
2300,0.4128794014867481
2400,0.28227415823522506
2500,0.16490130002637216
2600,0.21472268726176932
2700,0.2025586592532136
2800,0.2400446532097931
2900,0.3264394679314364
3000,0.2445173588439502
3100,0.20260319893350245
3200,0.17861034209113313
3300,0.18790620126924296
3400,0.16460484546303178
3500,0.1126999026868134
3600,0.24996102221382446
3700,0.1991648807644424
3800,0.2203214498302941
3900,0.11741895129534895
4000,0.2325390241065861
4100,0.23810922947927796
4200,0.3605206499445329
4300,0.2966105878696226
4400,0.2463380696882496
4500,0.12585638816983644
4600,0.19291032670287225
4700,0.2320413544981648
4800,0.2787842447073672
4900,0.3197277223363244
5000,0.3312907912772971
5100,0.2629164560771642
5200,0.15048687167177374
5300,0.14116840429869626
5400,0.1944512488462351
5500,0.16857907752728352
5600,0.2515326244101743
5700,0.20964555666159868
5800,0.24799250531145844
5900,0.15285409458465438
6000,0.2518661348153728
6100,0.2575018791583261
6200,0.26640537077696536
6300,0.14953183996294686
6400,0.3534237083561038
6500,0.13374411371796668
6600,0.3127435651174437
6700,0.23539373077142045
6800,0.28846269962105
6900,0.30265676315025297
7000,0.3398629670050468
7100,0.301128770340938
7200,0.3079095072080236
7300,0.19099396984051964
7400,0.21144160299581927
7500,0.2740597648266885
7600,0.1959389586263569
7700,0.2933593695322543
7800,0.14854404408038135
7900,0.2820327315071154
8000,0.23954693664268234
8100,0.2137080564134521
8200,0.2629382332481782
8300,0.037124582116348386
8400,0.32434895905612393
8500,0.3205699350919531
8600,0.28436853405719376
8700,0.2541572145000828
8800,0.2720570805677198
8900,0.4013548699713283
9000,0.10995781623364564
9100,0.3113424792452406
9200,0.3256678378377273
9300,0.1957736791407569
9400,0.33352975780212546
9500,0.1501678402835296
9600,0.329276131217739
9700,0.13164126467245296
9800,0.1844387783362436
9900,0.2764465592963461
10000,0.1546024169224438
