learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.21875,6.179713333646457E-10,1508.0,0.5306666666666666,0.13216481464508723,0.79,0.2222222222222224,0.510548523206751,3.0,0.4,1.0,0.17531249999999995,1508.0,10920.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3016.0,0.296875,1.0312457258502643E-9,3016.0,0.7789522058823529,0.32627660840035067,0.74,0.31144067796610153,0.7760635811126695,2.125,0.564335241417619,0.9264705882352942,-0.004046094750319993,3016.0,20448.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
4524.0,0.359375,1.5015636260310809E-9,4524.0,0.6081349206349206,0.20915604011578237,0.77,0.2599742599742602,0.5998057309373482,2.5714285714285716,0.45968415657875766,0.9861111111111112,0.08565905096660796,4524.0,29088.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
6032.0,0.40625,1.9243452697992326E-9,6032.0,0.7322666666666666,0.2942847682186437,0.81,0.3448275862068966,0.7186666666666667,3.0,0.5256107558513874,0.9866666666666667,0.23949568679495697,6032.0,34864.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
7540.0,0.453125,2.4741166271269323E-9,7540.0,0.7105263157894737,0.26668635270969876,0.83,0.3849493487698983,0.6309771309771309,3.1666666666666665,0.5400617248673217,1.0,0.3127077747989273,7540.0,45336.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
9048.0,0.5,3.0655064620077614E-9,9048.0,0.6973461321287409,0.28135701799041424,0.81,0.33098591549295775,0.7679324894514767,3.347826086956522,0.5408235558637171,0.961038961038961,0.22422382671480162,9048.0,48768.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
10556.0,0.546875,3.67115717381239E-9,10556.0,0.8631705846895721,0.3584866389390516,0.88,0.5423340961098396,0.6686159844054581,3.761904761904762,0.6546536707079771,1.0,0.5118612716763006,10556.0,49944.0,15.0,8.0,8.0,5.0,0.0,0.0,1.0
12064.0,0.59375,4.401760331044595E-9,12064.0,0.7709790209790209,0.31744776010959436,0.81,0.325284090909091,0.7595129375951294,3.5454545454545454,0.549422243693138,0.9487179487179487,0.22926698049764643,12064.0,60248.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
13572.0,0.640625,5.2024067069093385E-9,13572.0,0.7900219298245614,0.27394943968642244,0.81,0.31259044862518076,0.7435661764705882,3.1666666666666665,0.4966996338993914,0.9868421052631579,0.22817120622568104,13572.0,66024.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
15080.0,0.671875,5.757901817560196E-9,15080.0,0.7255717255717256,0.40264362580510005,0.75,0.37374749498997994,0.7984189723320159,2.8461538461538463,0.6839411288813297,0.8108108108108109,-0.011537429568017099,15080.0,68712.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
16588.0,0.703125,6.322904179493586E-9,16588.0,0.8882536382536382,0.44223341467049687,0.85,0.5347394540942926,0.8132927447995941,2.8461538461538463,0.6747602946983879,0.9864864864864865,0.39029649595687316,16588.0,69888.0,21.0,11.0,11.0,5.0,0.0,0.0,1.0
18096.0,0.75,7.278188907851775E-9,18096.0,0.7877610490529383,0.2745204873559891,0.76,0.22829581993569148,0.8087318087318087,2.4482758620689653,0.41522739926869984,1.0,0.025350089766606698,18096.0,78776.0,25.0,13.0,13.0,6.0,0.0,0.0,1.0
19604.0,0.78125,7.975322660058736E-9,19604.0,0.8268229166666666,0.29743622533632463,0.67,0.1306638566912539,0.8305448305448305,1.7777777777777777,0.366808684617896,0.96875,-0.3380186142709407,19604.0,86232.0,27.0,14.0,14.0,7.0,0.0,0.0,1.0
21112.0,0.828125,9.10823776697119E-9,21112.0,0.7957380457380457,0.3376694703502116,0.79,0.30738786279683394,0.814473045167557,2.8461538461538463,0.5118146753994672,0.972972972972973,0.14789160099942356,21112.0,93424.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
22620.0,0.84375,9.490629761583275E-9,22620.0,0.8355776045357902,0.30974206791895653,0.85,0.2843511450381682,0.7872628726287263,4.882352941176471,0.47919138125850186,0.9759036144578314,0.3918264922029038,22620.0,94600.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
24128.0,0.875,1.0266279180844625E-8,24128.0,0.7082699137493658,0.2592546354195467,0.79,0.29435483870967777,0.7251984126984127,2.7037037037037037,0.4714045207910317,1.0,0.15184466019417492,24128.0,95944.0,29.0,15.0,15.0,7.0,0.0,0.0,1.0
25636.0,0.90625,1.1087265900439687E-8,25636.0,0.8929313929313929,0.3802771044356913,0.85,0.5347394540942926,0.8215697346132129,2.8461538461538463,0.6747602946983879,0.9864864864864865,0.3933743492664458,25636.0,101552.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
27144.0,0.9375,1.1921834407581224E-8,27144.0,0.7269333333333333,0.3043236824008585,0.79,0.3225806451612903,0.7527412280701754,3.0,0.5503937984146745,0.9466666666666667,0.15414156403027157,27144.0,103232.0,31.0,16.0,16.0,7.0,0.0,0.0,1.0
