learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1508.0,0.25,3.4924596548080444E-10,1508.0,0.34346666666666664,0.004392294305155753,0.74,-0.019607843137254475,0.33936106088004825,3.0,0.0,0.9866666666666667,-0.02104166666666692,1508.0,5400.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3016.0,0.3125,6.246328767802981E-10,3016.0,0.4177389705882353,0.0093423249266818,0.67,-0.019777503090234738,0.4114071996259935,2.125,0.0,0.9852941176470589,-0.27436619718309824,3016.0,17032.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
4524.0,0.390625,7.218073329163922E-10,4524.0,0.4429563492063492,0.0013048707190116415,0.72,0.0,0.4963574550752793,2.5714285714285716,0.0,1.0,-0.11311072056239051,4524.0,4808.0,5.0,3.0,3.0,0.0,0.0,0.0,1.0
6032.0,0.421875,8.019398794405991E-10,6032.0,0.4064,0.010209926072197895,0.75,0.0,0.4629333333333333,3.0,0.0,1.0,-6.635700066358511E-4,6032.0,9912.0,7.0,4.0,4.0,1.0,0.0,0.0,1.0
7540.0,0.46875,1.0003309903873338E-9,7540.0,0.41885964912280704,0.016846098271585175,0.75,-0.01957585644371906,0.4235966735966736,3.1666666666666665,0.0,0.9868421052631579,-0.010723860589812529,7540.0,16360.0,9.0,5.0,5.0,2.0,0.0,0.0,1.0
9048.0,0.515625,1.2748771243625216E-9,9048.0,0.5081874647092038,0.02750493710430313,0.77,0.0,0.42495479204339964,3.347826086956522,0.0,1.0,0.06090252707581231,9048.0,22640.0,11.0,6.0,6.0,3.0,0.0,0.0,1.0
10556.0,0.5625,1.62150374510222E-9,10556.0,0.42646172393007836,0.05174400402992635,0.79,0.05234657039711216,0.3713450292397661,3.761904761904762,0.21683236581372287,0.9873417721518988,0.14575722543352612,10556.0,28584.0,13.0,7.0,7.0,4.0,0.0,0.0,1.0
12064.0,0.625,2.2623054165807034E-9,12064.0,0.39335664335664333,0.07868618402472372,0.78,0.09240924092409233,0.3515981735159817,3.5454545454545454,0.29762071261605527,0.9743589743589743,0.107572293207801,12064.0,39632.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
13572.0,0.65625,2.5949298611117734E-9,13572.0,0.5010964912280702,7.444211880391904E-4,0.76,0.0,0.4485294117647059,3.1666666666666665,0.0,1.0,0.025058365758754773,13572.0,41144.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
15080.0,0.6875,2.9655186355941826E-9,15080.0,0.5057172557172557,0.017439342161287896,0.72,-0.03857566765578621,0.46414455110107283,2.8461538461538463,0.0,0.972972972972973,-0.13292192111617926,15080.0,45840.0,19.0,10.0,10.0,5.0,0.0,0.0,1.0
