learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1508.0,0.796875,6.744143320247531E-8,1508.0,0.5765333333333333,0.023096202682767686,0.75,0.0,0.4810126582278481,3.0,0.0,1.0,0.018229166666666456,1508.0,327144.0,10.0,0.0,9048.300000000001,15.535657909038449,23528.8,2287.359179879229,9.8,0.9043106644167023,5.4,0.45215533220835114,5.4,0.45215533220835114,3.6999999999999993,0.21343747458109494,0.0,0.0,0.0,0.0,1.0,0.0
3016.0,1.25,1.6278280074604685E-7,3016.0,0.46047794117647056,0.030244706232837093,0.68,0.0,0.5021037868162693,2.125,0.0,1.0,-0.2357490396927013,3016.0,813328.0,10.0,0.0,18066.2,42.289426049020385,70748.0,2605.617248262769,28.0,1.0852547064066471,14.5,0.5426273532033236,14.5,0.5426273532033236,6.4,0.2666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
4524.0,1.90625,3.3182987762201166E-7,4524.0,0.4801587301587302,0.023043599475375043,0.71,-0.019690576652602144,0.5206410879067509,2.5714285714285716,0.0,0.9861111111111112,-0.1528646748681902,4524.0,995728.0,10.0,0.0,27097.3,42.43532333642183,88657.6,8973.265164674203,35.599999999999994,0.9910712498212337,18.299999999999997,0.49553562491061687,18.299999999999997,0.49553562491061687,6.3,0.6155395104206463,0.0,0.0,0.0,0.0,1.0,0.0
6032.0,2.1875,4.321513632829819E-7,6032.0,0.5509333333333334,0.040012348430372546,0.75,0.0,0.5754666666666667,3.0,0.0,1.0,-6.635700066358511E-4,6032.0,1378808.0,10.0,0.0,36126.700000000004,41.69973354564498,125804.00000000001,10381.945645098405,51.400000000000006,2.2070593809662467,26.200000000000003,1.1035296904831233,26.200000000000003,1.1035296904831233,8.799999999999999,0.41633319989322637,0.0,0.0,0.0,0.0,1.0,0.0
7540.0,2.546875,5.84385836393469E-7,7540.0,0.4512061403508772,0.01756955881442729,0.75,-0.01957585644371906,0.5472972972972973,3.1666666666666665,0.0,0.9868421052631579,-0.010723860589812529,7540.0,1637448.0,10.0,0.0,45175.1,52.60976884360704,151056.0,10345.872340643338,60.400000000000006,2.5482019804821863,30.7,1.274100990241093,30.7,1.274100990241093,8.9,0.3480102169636849,0.0,0.0,0.0,0.0,1.0,0.0
9048.0,2.8125,7.214330253191293E-7,9048.0,0.5324675324675324,0.02677632577073291,0.77,0.0,0.46775165762507537,3.347826086956522,0.0,1.0,0.06090252707581231,9048.0,1994360.0,10.0,0.0,54199.899999999994,44.38529536281627,185869.6,10400.567714419356,73.4,2.561249694973139,37.2,1.2806248474865696,37.2,1.2806248474865696,9.2,0.3265986323710904,0.0,0.0,0.0,0.0,1.0,0.0
10556.0,3.1875,9.406508373407027E-7,10556.0,0.5075346594333936,0.025829913406565208,0.78,-0.01946246524559769,0.4080571799870045,3.761904761904762,0.0,0.9873417721518988,0.10507899807321779,10556.0,2259680.0,10.0,0.0,63256.9,49.178687795968436,211623.2,12282.336799738972,82.4,3.6884203182994812,41.7,1.8442101591497406,41.7,1.8442101591497406,9.5,0.2687419249432849,0.0,0.0,0.0,0.0,1.0,0.0
12064.0,3.46875,1.1260049844471118E-6,12064.0,0.5705128205128205,0.02316865815264535,0.78,0.0,0.41755454084221205,3.5454545454545454,0.0,1.0,0.107572293207801,12064.0,2547488.0,10.0,0.0,72361.5,68.32036462301825,239742.40000000002,12054.583109248439,92.20000000000002,3.453822359196965,46.60000000000001,1.7269111795984824,46.60000000000001,1.7269111795984824,10.0,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
13572.0,3.859375,1.4009925265175602E-6,13572.0,0.5416666666666666,0.042531039979357865,0.76,0.0,0.4820772058823529,3.1666666666666665,0.0,1.0,0.025058365758754773,13572.0,2721168.0,10.0,0.0,81415.8,73.68835276577546,256671.19999999995,11834.897546193157,98.79999999999998,3.656956840507327,49.89999999999999,1.8284784202536635,49.89999999999999,1.8284784202536635,10.1,0.1795054935711501,0.0,0.0,0.0,0.0,1.0,0.0
15080.0,4.171875,1.6494939659929112E-6,15080.0,0.5005197505197505,0.0225064146272822,0.74,0.0,0.47656691134952006,2.8461538461538463,0.0,1.0,-0.05199892675073782,15080.0,3073840.0,10.0,0.0,90496.9,60.810534540579894,291147.2,13299.545840867397,110.19999999999999,3.773592452822641,55.599999999999994,1.8867962264113205,55.599999999999994,1.8867962264113205,10.5,0.22360679774997894,0.0,0.0,0.0,0.0,1.0,0.0
