learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1508.0,0.0625,2.198956078953213E-11,1508.0,0.4256,7.09785689086806E-4,0.75,0.0,0.3670886075949367,0.3333333333333333,0.0,0.0,0.018229166666666456,1508.0,1360.0
3016.0,0.109375,3.848173138168123E-11,3016.0,0.4099264705882353,2.7726761567963E-4,0.68,0.0,0.4212248714352501,0.47058823529411764,0.0,0.0,-0.2357490396927013,3016.0,1360.0
4524.0,0.140625,4.9476511776447295E-11,4524.0,0.36174636174636177,9.276271246422274E-5,0.74,0.0,0.3720252549781447,0.35135135135135137,0.0,0.0,-0.03360281195079112,4524.0,1360.0
6032.0,0.171875,6.047129217121335E-11,6032.0,0.3659043659043659,-3.361406224519914E-4,0.74,0.0,0.392,0.35135135135135137,0.0,0.0,-0.040000000000000036,6032.0,1360.0
7540.0,0.203125,7.146607256597942E-11,7540.0,0.30153508771929827,2.904820588832402E-5,0.76,0.0,0.33835758835758833,0.3157894736842105,0.0,0.0,0.02970509383378001,7540.0,1360.0
9048.0,0.21875,7.696346276336245E-11,9048.0,0.3687182382834557,4.6041482684625046E-5,0.77,0.0,0.3670886075949367,0.2987012987012987,0.0,0.0,0.06090252707581231,9048.0,1360.0
10556.0,0.234375,8.246085296074548E-11,10556.0,0.3597560975609756,1.000881308354934E-4,0.82,0.0,0.43989603638726443,0.21951219512195122,0.0,0.0,0.26779190751445064,10556.0,1360.0
12064.0,0.265625,9.345563335551155E-11,12064.0,0.41375291375291373,5.452049630857991E-5,0.78,0.0,0.30187721968543885,0.28205128205128205,0.0,0.0,0.107572293207801,12064.0,1360.0
13572.0,0.28125,9.895302355289458E-11,13572.0,0.3794642857142857,2.6492050788071153E-5,0.72,0.0,0.3105590062111801,0.3888888888888889,0.0,0.0,-0.13845416417016193,13572.0,1360.0
15080.0,0.296875,1.0445041375027762E-10,15080.0,0.31444906444906445,1.4851734890602986E-5,0.74,0.0,0.37662337662337664,0.35135135135135137,0.0,0.0,-0.05199892675073782,15080.0,1360.0
16588.0,0.3125,1.0994780394766066E-10,16588.0,0.44062688366485836,3.6861541221955285E-5,0.79,0.0,0.4575824175824176,0.26582278481012656,0.0,0.0,0.14912554958475818,16588.0,1360.0
18096.0,0.328125,1.154451941450437E-10,18096.0,0.44571428571428573,7.389718842745752E-5,0.7,0.0,0.3996881496881497,0.42857142857142855,0.0,0.0,-0.21803903971281144,18096.0,1360.0
19604.0,0.34375,1.2094258434242673E-10,19604.0,0.377039627039627,2.5357006721293818E-5,0.78,0.0,0.405666063893912,0.28205128205128205,0.0,0.0,0.1053972204936736,19604.0,1360.0
21112.0,0.375,1.3193736473719279E-10,21112.0,0.4215176715176715,4.831740037278265E-5,0.74,0.0,0.434191355026712,0.35135135135135137,0.0,0.0,-0.054991351143571045,21112.0,1360.0
22620.0,0.390625,1.3743475493457583E-10,22620.0,0.33613838242169236,3.2770485766220325E-5,0.69,0.0,0.3791491351098644,0.4492753623188406,0.0,0.0,-0.25173152445555186,22620.0,1360.0
24128.0,0.40625,1.4293214513195886E-10,24128.0,0.46576007770762506,3.844949765166583E-5,0.71,0.0,0.39831349206349204,0.4084507042253521,0.0,0.0,-0.1712621359223302,24128.0,1360.0
25636.0,0.421875,1.484295353293419E-10,25636.0,0.4279686558167571,2.1181361350749994E-5,0.79,0.0,0.3929983060417843,0.26582278481012656,0.0,0.0,0.15179454860564057,25636.0,1360.0
27144.0,0.4375,1.5392692552672494E-10,27144.0,0.4261333333333333,3.186527181417431E-5,0.75,0.0,0.42598684210526316,0.3333333333333333,0.0,0.0,-0.006974328535391153,27144.0,1360.0
28652.0,0.4375,1.5392692552672494E-10,28652.0,0.34155701754385964,9.062331218681607E-6,0.76,0.0,0.35395010395010396,0.3157894736842105,0.0,0.0,0.031208791208791307,28652.0,1360.0
30160.0,0.4375,1.5392692552672494E-10,30160.0,0.353125,2.3459978526374492E-5,0.8,0.0,0.34965034965034963,0.25,0.0,0.0,0.19648328226988154,30160.0,1360.0
30162.0,0.4375,1.5392692552672494E-10,30162.0,0.3508137432188065,2.3227369341918824E-5,0.79,0.0,0.34965034965034963,0.26582278481012656,0.0,0.0,0.1563638785295685,30162.0,1360.0
