learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
16588.0,0.59375,5.206739943888452E-9,16588.0,0.6118143459915611,0.19177241715334412,0.79,0.09948542024013766,0.8430769230769231,0.26582278481012656,0.30467524385714256,0.09523809523809523,0.14912554958475818,16588.0,70296.0,21.0,11.0,11.0,6.0,0.0,0.0,1.0
18096.0,0.640625,6.076556423472034E-9,18096.0,0.7752380952380953,0.265098565181533,0.75,0.21875000000000014,0.7728690228690228,0.42857142857142855,0.408248290463863,0.16666666666666666,-0.015032533094009384,18096.0,71728.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
19604.0,0.671875,6.717228744592931E-9,19604.0,0.6544289044289044,0.25675525155246104,0.8,0.24471299093655616,0.622664255575648,0.28205128205128205,0.4674734950042286,0.22727272727272727,0.1867247459033397,19604.0,79248.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
21112.0,0.6875,7.0439677478538614E-9,21112.0,0.7926195426195426,0.3237753924238777,0.8,0.3297587131367291,0.8086449732880039,0.35135135135135137,0.5153566877343454,0.2692307692307692,0.18846819142802249,21112.0,80832.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
22620.0,0.71875,7.706953005658255E-9,22620.0,0.7938288920056101,0.36408687944504875,0.78,0.40054495912806565,0.7844787283777466,0.4492753623188406,0.6084952585381369,0.3870967741935484,0.11167440199928602,22620.0,82008.0,25.0,13.0,13.0,7.0,0.0,0.0,1.0
24128.0,0.765625,8.825219184574154E-9,24128.0,0.7722195240407965,0.3029984186135323,0.78,0.3112085159674391,0.6651785714285714,0.4084507042253521,0.4913036844405175,0.2413793103448276,0.11145631067961179,24128.0,92216.0,29.0,15.0,15.0,8.0,0.0,0.0,1.0
25636.0,0.8125,1.0063199119435417E-8,25636.0,0.7836045810729355,0.24576019213340955,0.8,0.23722349351639951,0.756634669678148,0.26582278481012656,0.47543641320560237,0.23809523809523808,0.19218528438632437,25636.0,102088.0,33.0,17.0,17.0,8.0,0.0,0.0,1.0
27144.0,0.828125,1.0488082706514333E-8,27144.0,0.7381333333333333,0.32535328529294816,0.8,0.3442622950819675,0.7631578947368421,0.3333333333333333,0.5542562584220407,0.32,0.19442053717168725,27144.0,105112.0,33.0,17.0,17.0,8.0,0.0,0.0,1.0
28652.0,0.859375,1.1383122505827083E-8,28652.0,0.8536184210526315,0.3741853311756317,0.81,0.3606998654104982,0.8118503118503119,0.3157894736842105,0.5658404709778996,0.3333333333333333,0.2330402930402933,28652.0,110712.0,35.0,18.0,18.0,8.0,0.0,0.0,1.0
30160.0,0.921875,1.3263747354762423E-8,30160.0,0.905,0.44201740760897196,0.87,0.5112781954887217,0.8793706293706294,0.25,0.6623820649745885,0.45,0.47771413347542285,30160.0,116312.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
30162.0,0.921875,1.3263747354762423E-8,30162.0,0.9132007233273056,0.4628749595195586,0.87,0.5350500715307581,0.8793706293706294,0.26582278481012656,0.681274556325896,0.47619047619047616,0.4777490676611614,30162.0,116312.0,37.0,19.0,19.0,8.0,0.0,0.0,1.0
